"","Parcel","Year","Species","Cover","Relative_Cover","Perennial"
"121","LAW069",2023,"ATPA3",0,0,18.9090909090909
"122","LAW069",2023,"ATPO",0,0,18.9090909090909
"123","LAW069",2023,"ATTO",0,0,18.9090909090909
"124","LAW069",2023,"BOMA7",0,0,18.9090909090909
"125","LAW069",2023,"CALI4",0,0,18.9090909090909
"126","LAW069",2023,"DISP",3.45454545454545,18.2692307692308,18.9090909090909
"127","LAW069",2023,"EPCI",0,0,18.9090909090909
"128","LAW069",2023,"EPNE",0,0,18.9090909090909
"129","LAW069",2023,"ERNA10",8.36363636363636,44.2307692307692,18.9090909090909
"130","LAW069",2023,"EUOC4",0,0,18.9090909090909
"131","LAW069",2023,"HECU3",1.45454545454545,7.69230769230769,18.9090909090909
"132","LAW069",2023,"HOJU",0,0,18.9090909090909
"133","LAW069",2023,"IVAX",0.818181818181818,4.32692307692308,18.9090909090909
"134","LAW069",2023,"JUARL",0.181818181818182,0.961538461538462,18.9090909090909
"135","LAW069",2023,"JUTO",0,0,18.9090909090909
"136","LAW069",2023,"KRLA2",0,0,18.9090909090909
"137","LAW069",2023,"LETR5",0,0,18.9090909090909
"138","LAW069",2023,"MACA17",0,0,18.9090909090909
"139","LAW069",2023,"MALE3",0,0,18.9090909090909
"140","LAW069",2023,"MUAS",0.0909090909090909,0.480769230769231,18.9090909090909
"141","LAW069",2023,"POFR2",0,0,18.9090909090909
"142","LAW069",2023,"PSARM",0,0,18.9090909090909
"143","LAW069",2023,"PSPO",0.909090909090909,4.80769230769231,18.9090909090909
"144","LAW069",2023,"SAEX",0,0,18.9090909090909
"145","LAW069",2023,"SALA3",0.0909090909090909,0.480769230769231,18.9090909090909
"146","LAW069",2023,"SALA6",0,0,18.9090909090909
"147","LAW069",2023,"SAVE4",0.636363636363636,3.36538461538462,18.9090909090909
"148","LAW069",2023,"SPAI",0.272727272727273,1.44230769230769,18.9090909090909
"149","LAW069",2023,"SUMO",0,0,18.9090909090909
"150","LAW069",2023,"TEAX",0,0,18.9090909090909
"151","LAW069",2023,"TEGL",0,0,18.9090909090909
"152","LAW069",2023,"TYLA",0,0,18.9090909090909
"153","LAW104",2023,"ACHY",0,0,9.83333333333333
"154","LAW104",2023,"ALOC2",0,0,9.83333333333333
"155","LAW104",2023,"ARTR2",0,0,9.83333333333333
"156","LAW104",2023,"ASFA",0,0,9.83333333333333
"157","LAW104",2023,"ATCA2",0,0,9.83333333333333
"158","LAW104",2023,"ATCO",0.0833333333333333,0.847457627118644,9.83333333333333
"159","LAW104",2023,"ATPA3",0,0,9.83333333333333
"160","LAW104",2023,"ATPO",0,0,9.83333333333333
"161","LAW104",2023,"ATTO",4.91666666666667,50,9.83333333333333
"162","LAW104",2023,"BOMA7",0,0,9.83333333333333
"163","LAW104",2023,"CALI4",0,0,9.83333333333333
"164","LAW104",2023,"DISP",0,0,9.83333333333333
"165","LAW104",2023,"EPCI",0,0,9.83333333333333
"166","LAW104",2023,"EPNE",0,0,9.83333333333333
"167","LAW104",2023,"ERNA10",0,0,9.83333333333333
"168","LAW104",2023,"EUOC4",0,0,9.83333333333333
"169","LAW104",2023,"HECU3",0,0,9.83333333333333
"170","LAW104",2023,"HOJU",0,0,9.83333333333333
"171","LAW104",2023,"IVAX",0,0,9.83333333333333
"172","LAW104",2023,"JUARL",0,0,9.83333333333333
"173","LAW104",2023,"JUTO",0,0,9.83333333333333
"174","LAW104",2023,"KRLA2",0,0,9.83333333333333
"175","LAW104",2023,"LETR5",0,0,9.83333333333333
"176","LAW104",2023,"MACA17",0,0,9.83333333333333
"177","LAW104",2023,"MALE3",0,0,9.83333333333333
"178","LAW104",2023,"MUAS",0,0,9.83333333333333
"179","LAW104",2023,"POFR2",0,0,9.83333333333333
"180","LAW104",2023,"PSARM",0,0,9.83333333333333
"181","LAW104",2023,"PSPO",0,0,9.83333333333333
"182","LAW104",2023,"SAEX",0,0,9.83333333333333
"183","LAW104",2023,"SALA3",0,0,9.83333333333333
"184","LAW104",2023,"SALA6",0,0,9.83333333333333
"185","LAW104",2023,"SAVE4",4.58333333333333,46.6101694915254,9.83333333333333
"186","LAW104",2023,"SPAI",0.25,2.54237288135593,9.83333333333333
"187","LAW104",2023,"SUMO",0,0,9.83333333333333
"188","LAW104",2023,"TEAX",0,0,9.83333333333333
"189","LAW104",2023,"TEGL",0,0,9.83333333333333
"190","LAW104",2023,"TYLA",0,0,9.83333333333333
"191","LAW119",2023,"ACHY",0,0,30.1935483870968
"192","LAW119",2023,"ALOC2",0,0,30.1935483870968
"193","LAW119",2023,"ARTR2",0,0,30.1935483870968
"194","LAW119",2023,"ASFA",0.112903225806452,0.373931623931624,30.1935483870968
"195","LAW119",2023,"ATCA2",0,0,30.1935483870968
"196","LAW119",2023,"ATCO",0.0483870967741935,0.16025641025641,30.1935483870968
"197","LAW119",2023,"ATPA3",0,0,30.1935483870968
"198","LAW119",2023,"ATPO",0,0,30.1935483870968
"199","LAW119",2023,"ATTO",5.75806451612903,19.0705128205128,30.1935483870968
"200","LAW119",2023,"BOMA7",0.0806451612903226,0.267094017094017,30.1935483870968
"201","LAW119",2023,"CALI4",0,0,30.1935483870968
"202","LAW119",2023,"DISP",2.74193548387097,9.08119658119658,30.1935483870968
"203","LAW119",2023,"EPCI",1.06451612903226,3.52564102564103,30.1935483870968
"204","LAW119",2023,"EPNE",0,0,30.1935483870968
"205","LAW119",2023,"ERNA10",7.54838709677419,25,30.1935483870968
"206","LAW119",2023,"EUOC4",0.17741935483871,0.587606837606838,30.1935483870968
"207","LAW119",2023,"HECU3",0.0645161290322581,0.213675213675214,30.1935483870968
"208","LAW119",2023,"HOJU",0.0161290322580645,0.0534188034188034,30.1935483870968
"209","LAW119",2023,"IVAX",1,3.31196581196581,30.1935483870968
"210","LAW119",2023,"JUARL",0.161290322580645,0.534188034188034,30.1935483870968
"211","LAW119",2023,"JUTO",0.0806451612903226,0.267094017094017,30.1935483870968
"212","LAW119",2023,"KRLA2",0,0,30.1935483870968
"213","LAW119",2023,"LETR5",0.370967741935484,1.22863247863248,30.1935483870968
"214","LAW119",2023,"MACA17",0,0,30.1935483870968
"215","LAW119",2023,"MALE3",0,0,30.1935483870968
"216","LAW119",2023,"MUAS",4.17741935483871,13.8354700854701,30.1935483870968
"217","LAW119",2023,"POFR2",1.7258064516129,5.71581196581197,30.1935483870968
"218","LAW119",2023,"PSARM",0,0,30.1935483870968
"219","LAW119",2023,"PSPO",0,0,30.1935483870968
"220","LAW119",2023,"SAEX",0.467741935483871,1.5491452991453,30.1935483870968
"221","LAW119",2023,"SALA3",0.0161290322580645,0.0534188034188034,30.1935483870968
"222","LAW119",2023,"SALA6",0.0161290322580645,0.0534188034188034,30.1935483870968
"223","LAW119",2023,"SAVE4",0.854838709677419,2.83119658119658,30.1935483870968
"224","LAW119",2023,"SPAI",2.79032258064516,9.24145299145299,30.1935483870968
"225","LAW119",2023,"SUMO",0,0,30.1935483870968
"226","LAW119",2023,"TEAX",0,0,30.1935483870968
"227","LAW119",2023,"TEGL",0,0,30.1935483870968
"228","LAW119",2023,"TYLA",0.919354838709677,3.04487179487179,30.1935483870968
"229","PLC202",2023,"ACHY",0,0,23.1666666666667
"230","PLC202",2023,"ALOC2",0,0,23.1666666666667
"231","PLC202",2023,"ARTR2",6.16666666666667,26.6187050359712,23.1666666666667
"232","PLC202",2023,"ASFA",0,0,23.1666666666667
"233","PLC202",2023,"ATCA2",0,0,23.1666666666667
"234","PLC202",2023,"ATCO",2.5,10.7913669064748,23.1666666666667
"235","PLC202",2023,"ATPA3",0,0,23.1666666666667
"236","PLC202",2023,"ATPO",0,0,23.1666666666667
"237","PLC202",2023,"ATTO",2.58333333333333,11.1510791366906,23.1666666666667
"238","PLC202",2023,"BOMA7",0,0,23.1666666666667
"239","PLC202",2023,"CALI4",0.0833333333333333,0.359712230215827,23.1666666666667
"240","PLC202",2023,"DISP",0.0833333333333333,0.359712230215827,23.1666666666667
"241","PLC202",2023,"EPCI",0,0,23.1666666666667
"242","PLC202",2023,"EPNE",1.58333333333333,6.83453237410072,23.1666666666667
"243","PLC202",2023,"ERNA10",3.08333333333333,13.3093525179856,23.1666666666667
"244","PLC202",2023,"EUOC4",0,0,23.1666666666667
"245","PLC202",2023,"HECU3",0.166666666666667,0.719424460431655,23.1666666666667
"246","PLC202",2023,"HOJU",0,0,23.1666666666667
"247","PLC202",2023,"IVAX",0.916666666666667,3.9568345323741,23.1666666666667
"248","PLC202",2023,"JUARL",0,0,23.1666666666667
"249","PLC202",2023,"JUTO",0,0,23.1666666666667
"250","PLC202",2023,"KRLA2",0.0833333333333333,0.359712230215827,23.1666666666667
"251","PLC202",2023,"LETR5",0,0,23.1666666666667
"252","PLC202",2023,"MACA17",0,0,23.1666666666667
"253","PLC202",2023,"MALE3",0,0,23.1666666666667
"254","PLC202",2023,"MUAS",0,0,23.1666666666667
"255","PLC202",2023,"POFR2",0,0,23.1666666666667
"256","PLC202",2023,"PSARM",1.41666666666667,6.11510791366906,23.1666666666667
"257","PLC202",2023,"PSPO",0,0,23.1666666666667
"258","PLC202",2023,"SAEX",0,0,23.1666666666667
"259","PLC202",2023,"SALA3",0,0,23.1666666666667
"260","PLC202",2023,"SALA6",0,0,23.1666666666667
"261","PLC202",2023,"SAVE4",0,0,23.1666666666667
"262","PLC202",2023,"SPAI",3.66666666666667,15.8273381294964,23.1666666666667
"263","PLC202",2023,"SUMO",0,0,23.1666666666667
"264","PLC202",2023,"TEAX",0.0833333333333333,0.359712230215827,23.1666666666667
"265","PLC202",2023,"TEGL",0.75,3.23741007194245,23.1666666666667
"266","PLC202",2023,"TYLA",0,0,23.1666666666667
"267","PLC219",2022,"ACHY",0,0,16
"268","PLC219",2022,"ALOC2",0,0,16
"269","PLC219",2022,"ARTR2",0.0526315789473684,0.328947368421053,16
"270","PLC219",2022,"ASFA",0,0,16
"271","PLC219",2022,"ATCA2",0,0,16
"272","PLC219",2022,"ATCO",1.84210526315789,11.5131578947368,16
"273","PLC219",2022,"ATPA3",0,0,16
"274","PLC219",2022,"ATPO",0.578947368421053,3.61842105263158,16
"275","PLC219",2022,"ATTO",1.52631578947368,9.53947368421053,16
"276","PLC219",2022,"BOMA7",0,0,16
"277","PLC219",2022,"CALI4",0,0,16
"278","PLC219",2022,"DISP",0.0526315789473684,0.328947368421053,16
"279","PLC219",2022,"EPCI",0,0,16
"280","PLC219",2022,"EPNE",0,0,16
"281","PLC219",2022,"ERNA10",0.578947368421053,3.61842105263158,16
"282","PLC219",2022,"EUOC4",0,0,16
"283","PLC219",2022,"HECU3",0,0,16
"284","PLC219",2022,"HOJU",0,0,16
"285","PLC219",2022,"IVAX",0,0,16
"286","PLC219",2022,"JUARL",0,0,16
"287","PLC219",2022,"JUTO",0,0,16
"288","PLC219",2022,"KRLA2",0,0,16
"289","PLC219",2022,"LETR5",0,0,16
"290","PLC219",2022,"MACA17",0.736842105263158,4.60526315789474,16
"291","PLC219",2022,"MALE3",0,0,16
"292","PLC219",2022,"MUAS",0,0,16
"293","PLC219",2022,"POFR2",0,0,16
"294","PLC219",2022,"PSARM",0,0,16
"295","PLC219",2022,"PSPO",0,0,16
"296","PLC219",2022,"SAEX",0,0,16
"297","PLC219",2022,"SALA3",0,0,16
"298","PLC219",2022,"SALA6",0,0,16
"299","PLC219",2022,"SAVE4",9,56.25,16
"300","PLC219",2022,"SPAI",0.947368421052632,5.92105263157895,16
"301","PLC219",2022,"SUMO",0.684210526315789,4.27631578947368,16
"302","PLC219",2022,"TEAX",0,0,16
"303","PLC219",2022,"TEGL",0,0,16
"304","PLC219",2022,"TYLA",0,0,16
"305","PLC219",2023,"ACHY",0,0,16.6896551724138
"306","PLC219",2023,"ALOC2",0,0,16.6896551724138
"307","PLC219",2023,"ARTR2",0.0344827586206897,0.206611570247934,16.6896551724138
"308","PLC219",2023,"ASFA",0,0,16.6896551724138
"309","PLC219",2023,"ATCA2",0,0,16.6896551724138
"310","PLC219",2023,"ATCO",1.62068965517241,9.71074380165289,16.6896551724138
"311","PLC219",2023,"ATPA3",0.517241379310345,3.09917355371901,16.6896551724138
"312","PLC219",2023,"ATPO",0.172413793103448,1.03305785123967,16.6896551724138
"313","PLC219",2023,"ATTO",1.20689655172414,7.23140495867769,16.6896551724138
"314","PLC219",2023,"BOMA7",0,0,16.6896551724138
"315","PLC219",2023,"CALI4",0,0,16.6896551724138
"316","PLC219",2023,"DISP",0,0,16.6896551724138
"317","PLC219",2023,"EPCI",0,0,16.6896551724138
"318","PLC219",2023,"EPNE",0,0,16.6896551724138
"319","PLC219",2023,"ERNA10",0.931034482758621,5.57851239669421,16.6896551724138
"320","PLC219",2023,"EUOC4",0,0,16.6896551724138
"321","PLC219",2023,"HECU3",0.137931034482759,0.826446280991736,16.6896551724138
"322","PLC219",2023,"HOJU",0,0,16.6896551724138
"323","PLC219",2023,"IVAX",0,0,16.6896551724138
"324","PLC219",2023,"JUARL",0,0,16.6896551724138
"325","PLC219",2023,"JUTO",0,0,16.6896551724138
"326","PLC219",2023,"KRLA2",0,0,16.6896551724138
"327","PLC219",2023,"LETR5",0,0,16.6896551724138
"328","PLC219",2023,"MACA17",0,0,16.6896551724138
"329","PLC219",2023,"MALE3",0,0,16.6896551724138
"330","PLC219",2023,"MUAS",0,0,16.6896551724138
"331","PLC219",2023,"POFR2",0,0,16.6896551724138
"332","PLC219",2023,"PSARM",0.0344827586206897,0.206611570247934,16.6896551724138
"333","PLC219",2023,"PSPO",0,0,16.6896551724138
"334","PLC219",2023,"SAEX",0,0,16.6896551724138
"335","PLC219",2023,"SALA3",0,0,16.6896551724138
"336","PLC219",2023,"SALA6",0,0,16.6896551724138
"337","PLC219",2023,"SAVE4",9.20689655172414,55.1652892561983,16.6896551724138
"338","PLC219",2023,"SPAI",1.62068965517241,9.71074380165289,16.6896551724138
"339","PLC219",2023,"SUMO",1.13793103448276,6.81818181818182,16.6896551724138
"340","PLC219",2023,"TEAX",0.0344827586206897,0.206611570247934,16.6896551724138
"341","PLC219",2023,"TEGL",0.0344827586206897,0.206611570247934,16.6896551724138
"342","PLC219",2023,"TYLA",0,0,16.6896551724138
"343","PLC227",2023,"ACHY",0.0625,0.411522633744856,15.1875
"344","PLC227",2023,"ALOC2",0,0,15.1875
"345","PLC227",2023,"ARTR2",0,0,15.1875
"346","PLC227",2023,"ASFA",0,0,15.1875
"347","PLC227",2023,"ATCA2",6.875,45.2674897119342,15.1875
"348","PLC227",2023,"ATCO",3.21875,21.1934156378601,15.1875
"349","PLC227",2023,"ATPA3",0,0,15.1875
"350","PLC227",2023,"ATPO",0.625,4.11522633744856,15.1875
"351","PLC227",2023,"ATTO",0.21875,1.440329218107,15.1875
"352","PLC227",2023,"BOMA7",0,0,15.1875
"353","PLC227",2023,"CALI4",0.0625,0.411522633744856,15.1875
"354","PLC227",2023,"DISP",0,0,15.1875
"355","PLC227",2023,"EPCI",0,0,15.1875
"356","PLC227",2023,"EPNE",0,0,15.1875
"357","PLC227",2023,"ERNA10",1.25,8.23045267489712,15.1875
"358","PLC227",2023,"EUOC4",0,0,15.1875
"359","PLC227",2023,"HECU3",0,0,15.1875
"360","PLC227",2023,"HOJU",0,0,15.1875
"361","PLC227",2023,"IVAX",0,0,15.1875
"362","PLC227",2023,"JUARL",0,0,15.1875
"363","PLC227",2023,"JUTO",0,0,15.1875
"364","PLC227",2023,"KRLA2",0,0,15.1875
"365","PLC227",2023,"LETR5",0,0,15.1875
"366","PLC227",2023,"MACA17",0,0,15.1875
"367","PLC227",2023,"MALE3",0,0,15.1875
"368","PLC227",2023,"MUAS",0,0,15.1875
"369","PLC227",2023,"POFR2",0,0,15.1875
"370","PLC227",2023,"PSARM",0.21875,1.440329218107,15.1875
"371","PLC227",2023,"PSPO",2.03125,13.3744855967078,15.1875
"372","PLC227",2023,"SAEX",0,0,15.1875
"373","PLC227",2023,"SALA3",0,0,15.1875
"374","PLC227",2023,"SALA6",0,0,15.1875
"375","PLC227",2023,"SAVE4",0.5625,3.7037037037037,15.1875
"376","PLC227",2023,"SPAI",0.0625,0.411522633744856,15.1875
"377","PLC227",2023,"SUMO",0,0,15.1875
"378","PLC227",2023,"TEAX",0,0,15.1875
"379","PLC227",2023,"TEGL",0,0,15.1875
"380","PLC227",2023,"TYLA",0,0,15.1875
"381","PLC230",2023,"ACHY",0.1,0.606060606060606,16.5
"382","PLC230",2023,"ALOC2",0.025,0.151515151515152,16.5
"383","PLC230",2023,"ARTR2",0,0,16.5
"384","PLC230",2023,"ASFA",0,0,16.5
"385","PLC230",2023,"ATCA2",1.575,9.54545454545455,16.5
"386","PLC230",2023,"ATCO",0.05,0.303030303030303,16.5
"387","PLC230",2023,"ATPA3",0,0,16.5
"388","PLC230",2023,"ATPO",7.525,45.6060606060606,16.5
"389","PLC230",2023,"ATTO",4.675,28.3333333333333,16.5
"390","PLC230",2023,"BOMA7",0,0,16.5
"391","PLC230",2023,"CALI4",0,0,16.5
"392","PLC230",2023,"DISP",0,0,16.5
"393","PLC230",2023,"EPCI",0,0,16.5
"394","PLC230",2023,"EPNE",0,0,16.5
"395","PLC230",2023,"ERNA10",0.3,1.81818181818182,16.5
"396","PLC230",2023,"EUOC4",0,0,16.5
"397","PLC230",2023,"HECU3",0,0,16.5
"398","PLC230",2023,"HOJU",0,0,16.5
"399","PLC230",2023,"IVAX",0,0,16.5
"400","PLC230",2023,"JUARL",0,0,16.5
"401","PLC230",2023,"JUTO",0,0,16.5
"402","PLC230",2023,"KRLA2",0,0,16.5
"403","PLC230",2023,"LETR5",0,0,16.5
"404","PLC230",2023,"MACA17",0,0,16.5
"405","PLC230",2023,"MALE3",0.225,1.36363636363636,16.5
"406","PLC230",2023,"MUAS",0,0,16.5
"407","PLC230",2023,"POFR2",0,0,16.5
"408","PLC230",2023,"PSARM",0,0,16.5
"409","PLC230",2023,"PSPO",0.075,0.454545454545455,16.5
"410","PLC230",2023,"SAEX",0,0,16.5
"411","PLC230",2023,"SALA3",0,0,16.5
"412","PLC230",2023,"SALA6",0,0,16.5
"413","PLC230",2023,"SAVE4",0.075,0.454545454545455,16.5
"414","PLC230",2023,"SPAI",1.875,11.3636363636364,16.5
"415","PLC230",2023,"SUMO",0,0,16.5
"416","PLC230",2023,"TEAX",0,0,16.5
"417","PLC230",2023,"TEGL",0,0,16.5
"418","PLC230",2023,"TYLA",0,0,16.5
