parcel,year,species,CommonName,mean_cover,transects_hit,geometry
LAW094,2024,KRLA2,Winterfat,0.2,3,"c(382561, 382562, 382618, 4142049, 4141822, 4142045)"
LAW094,2024,LEFR2,"alyssum, Desert",0,1,"c(382289, 4141814)"
LAW094,2022,LETR5,"wildrye, Beardless/Creeping",0.075,1,"c(382488, 4141971)"
LAW094,2024,LYCO2,"thorn, Peach /wolfberry, Cooper's",0,1,"c(382289, 4141814)"
LAW094,2024,MESP2,"menodora, Spiny",0,1,"c(382289, 4141814)"
LAW094,2022,PSARM,"indigo bush, Northern Mojave",0.25,2,"c(382369, 382428, 4141926, 4141892)"
LAW094,2024,PSPO,"dalea, Dotted",0,1,"c(382289, 4141814)"
LAW094,2022,SATR12,"Tumbleweed /thistle, Russian",5.95,20,"c(382289, 382305, 382325, 382339, 382349, 382369, 382385, 382428, 382432, 382437, 382478, 382488, 382496, 382515, 382561, 382562, 382565, 382605, 382618, 382643, 4141814, 4141964, 4142141, 4142096, 4142004, 4141926, 4141846, 4141892, 4141963, 4142061, 4142147, 4141971, 4142088, 4141887, 4142049, 4141822, 4141945, 4142133, 4142045, 4141900)"
LAW094,2024,SATR12,"Tumbleweed /thistle, Russian",0.025,1,"c(382325, 4142141)"
LAW094,2022,SPAI,"sacaton, Alkali",0.6,8,"c(382385, 382428, 382488, 382515, 382562, 382565, 382618, 382643, 4141846, 4141892, 4141971, 4141887, 4141822, 4141945, 4142045, 4141900)"
LAW094,2024,STEPH,Wire-lettuce,0,1,"c(382289, 4141814)"
LAW095,2024,ACSP12,"needlegrass, Desert",0,1,"c(381786, 4141852)"
LAW095,2022,AMDU2,Burrow-bush,0.125,2,"c(381786, 382033, 4141852, 4141910)"
LAW095,2024,AMDU2,Burrow-bush,0.175,2,"c(382033, 382105, 4141910, 4141951)"
LAW095,2022,ATCA2,"saltbush, Fourwing",3.45,19,"c(381786, 381858, 381919, 381925, 381952, 381966, 381987, 382013, 382033, 382034, 382054, 382082, 382105, 382117, 382157, 382164, 382188, 382208, 382222, 4141852, 4141994, 4142151, 4141940, 4141858, 4142075, 4141995, 4141823, 4141910, 4142126, 4142038, 4141873, 4141951, 4142113, 4142170, 4141922, 4141835, 4141952, 4142070)"
LAW095,2024,ATCA2,"saltbush, Fourwing",2.575,19,"c(381786, 381858, 381919, 381925, 381952, 381966, 381987, 382013, 382033, 382034, 382054, 382082, 382105, 382117, 382157, 382164, 382188, 382208, 382222, 4141852, 4141994, 4142151, 4141940, 4141858, 4142075, 4141995, 4141823, 4141910, 4142126, 4142038, 4141873, 4141951, 4142113, 4142170, 4141922, 4141835, 4141952, 4142070)"
LAW095,2024,ATCO,Shadscale,0,1,"c(381786, 4141852)"
LAW095,2022,ATPO,"saltbush, Allscale",4.025,14,"c(381786, 381858, 381925, 381987, 382013, 382033, 382034, 382054, 382082, 382105, 382164, 382188, 382208, 382222, 4141852, 4141994, 4141940, 4141995, 4141823, 4141910, 4142126, 4142038, 4141873, 4141951, 4141922, 4141835, 4141952, 4142070)"
LAW095,2024,ATPO,"saltbush, Allscale",5.975,15,"c(381786, 381858, 381876, 381919, 381925, 381952, 381987, 382013, 382033, 382054, 382082, 382105, 382188, 382208, 382222, 4141852, 4141994, 4141898, 4142151, 4141940, 4141858, 4141995, 4141823, 4141910, 4142038, 4141873, 4141951, 4141835, 4141952, 4142070)"
LAW095,2022,ATTO,"saltbush, Nevada/Torrey's",1.3,11,"c(381858, 381876, 381919, 381925, 381952, 381987, 382082, 382105, 382157, 382164, 4141994, 4141898, 4142151, 4141940, 4141858, 4141995, 4141873, 4141951, 4142170, 4141922)"
LAW095,2024,ATTO,"saltbush, Nevada/Torrey's",1.125,8,"c(381858, 381876, 381919, 381925, 381952, 381987, 382082, 382105, 4141994, 4141898, 4142151, 4141940, 4141858, 4141995, 4141873, 4141951)"
LAW095,2022,DISP,Saltgrass,0.425,6,"c(381876, 381952, 381966, 382082, 382105, 382188, 4141898, 4141858, 4142075, 4141873, 4141951, 4141835)"
LAW095,2024,DISP,Saltgrass,0,1,"c(381786, 4141852)"
LAW095,2024,ENAC,"brittlebush, Acton's",0,1,"c(381786, 4141852)"
LAW095,2024,ERFA2,"buckwheat, California",0,1,"c(381786, 4141852)"
LAW095,2022,ERNA10,"rabbitbrush, Common",2.075,14,"c(381786, 381858, 381876, 381919, 381952, 381966, 381987, 382013, 382033, 382034, 382082, 382105, 382164, 382188, 4141852, 4141994, 4141898, 4142151, 4141858, 4142075, 4141995, 4141823, 4141910, 4142126, 4141873, 4141951, 4141922, 4141835)"
LAW095,2024,ERNA10,"rabbitbrush, Common",1.175,11,"c(381786, 381858, 381876, 381919, 381925, 381952, 381966, 382013, 382033, 382082, 382157, 4141852, 4141994, 4141898, 4142151, 4141940, 4141858, 4142075, 4141823, 4141910, 4141873, 4142170)"
LAW095,2024,KRLA2,Winterfat,0.125,1,"c(381919, 4142151)"
LAW095,2022,LECI4,"wildrye, Great Basin",0.025,1,"c(381876, 4141898)"
LAW095,2022,LEFR2,"alyssum, Desert",0.025,1,"c(382082, 4141873)"
LAW095,2024,LEFR2,"alyssum, Desert",0,1,"c(381786, 4141852)"
LAW095,2022,LETR5,"wildrye, Beardless/Creeping",0.125,2,"c(381876, 382013, 4141898, 4141823)"
LAW095,2022,LYCO,NA,0.025,1,"c(381876, 4141898)"
LAW095,2024,LYCO2,"thorn, Peach /wolfberry, Cooper's",0.075,1,"c(381919, 4142151)"
LAW095,2024,POFR2,"cottonwood, Fremont's /Alamo",0,1,"c(381786, 4141852)"
LAW095,2024,PSPO,"dalea, Dotted",0,1,"c(381786, 4141852)"
LAW095,2022,SATR12,"Tumbleweed /thistle, Russian",2.8,18,"c(381786, 381858, 381876, 381925, 381952, 381966, 381987, 382033, 382034, 382054, 382082, 382105, 382117, 382157, 382164, 382188, 382208, 382222, 4141852, 4141994, 4141898, 4141940, 4141858, 4142075, 4141995, 4141910, 4142126, 4142038, 4141873, 4141951, 4142113, 4142170, 4141922, 4141835, 4141952, 4142070)"
LAW095,2024,SATR12,"Tumbleweed /thistle, Russian",0.775,13,"c(381786, 381876, 381919, 381925, 381966, 382033, 382034, 382054, 382082, 382117, 382157, 382164, 382222, 4141852, 4141898, 4142151, 4141940, 4142075, 4141910, 4142126, 4142038, 4141873, 4142113, 4142170, 4141922, 4142070)"
LAW095,2022,SPAI,"sacaton, Alkali",0.625,7,"c(381786, 381876, 381925, 381952, 381966, 381987, 382082, 4141852, 4141898, 4141940, 4141858, 4142075, 4141995, 4141873)"
LAW129,2022,ATCA2,"saltbush, Fourwing",2.8,11,"c(382981, 383041, 383099, 383124, 383144, 383185, 383212, 383223, 383296, 383486, 383501, 4139074, 4138959, 4138849, 4138958, 4139070, 4138885, 4138957, 4139132, 4138957, 4139117, 4138890)"
LAW129,2022,ATPO,"saltbush, Allscale",2.025,11,"c(383041, 383066, 383124, 383144, 383185, 383212, 383223, 383278, 383296, 383486, 383501, 4138959, 4139101, 4138958, 4139070, 4138885, 4138957, 4139132, 4138829, 4138957, 4139117, 4138890)"
LAW129,2022,ATTO,"saltbush, Nevada/Torrey's",0.05,2,"c(383401, 383501, 4139160, 4138890)"
LAW129,2022,CLLU2,"bee plant, Yellow",0.05,1,"c(383278, 4138829)"
LAW129,2022,COAR4,"bindweed, Field",0.25,5,"c(383066, 383144, 383278, 383296, 383401, 4139101, 4139070, 4138829, 4138957, 4139160)"
LAW129,2022,COCA5,"horseweed, Canada",0.15,2,"c(383066, 383144, 4139101, 4139070)"
LAW129,2022,DISP,Saltgrass,0.025,1,"c(383212, 4138957)"
LAW129,2022,ERNA10,"rabbitbrush, Common",11.25,20,"c(382981, 383014, 383041, 383066, 383099, 383124, 383144, 383185, 383212, 383223, 383278, 383296, 383328, 383359, 383380, 383401, 383444, 383472, 383486, 383501, 4139074, 4138826, 4138959, 4139101, 4138849, 4138958, 4139070, 4138885, 4138957, 4139132, 4138829, 4138957, 4139089, 4138884, 4138957, 4139160, 4138840, 4138957, 4139117, 4138890)"
LAW129,2022,IVAX,"weed, Poverty",0.075,2,"c(382981, 383359, 4139074, 4138884)"
LAW129,2022,KRLA2,Winterfat,0.1,2,"c(383144, 383380, 4139070, 4138957)"
LAW129,2022,MEOF,"sweetclover, Yellow",0.025,1,"c(383066, 4139101)"
LAW129,2022,SATR12,"Tumbleweed /thistle, Russian",2.225,14,"c(382981, 383041, 383066, 383099, 383124, 383144, 383212, 383296, 383328, 383401, 383444, 383472, 383486, 383501, 4139074, 4138959, 4139101, 4138849, 4138958, 4139070, 4138957, 4138957, 4139089, 4139160, 4138840, 4138957, 4139117, 4138890)"
LAW129,2022,SPAI,"sacaton, Alkali",0.05,1,"c(383066, 4139101)"
