parcel,year,transect,species,hits
LAW049,2025,4,ATCO,1
LAW049,2025,4,SATR12,1
LAW049,2025,4,PSARM,11
LAW012,2025,33,ATCO,8
LAW012,2025,33,SATR12,4
LAW012,2025,33,PSPO,2
LAW012,2025,29,ATCO,3
LAW012,2025,29,SATR12,1
LAW012,2025,29,PSPO,7
LAW012,2025,29,KRLA2,2
LAW012,2025,29,PSARM,5
LAW012,2025,31,ATCO,4
LAW012,2025,31,SATR12,5
LAW012,2025,31,PSARM,3
LAW012,2025,15,ATCO,1
LAW012,2025,15,PSARM,9
LAW012,2025,15,HYSA,1
LAW012,2025,15,LYAN,5
LAW012,2025,34,ATCO,4
LAW012,2025,34,PSARM,13
LAW012,2025,34,LEFR2,1
LAW012,2025,12,PSARM,8
LAW012,2025,12,LYAN,2
LAW012,2025,37,PSARM,3
LAW012,2025,37,LYAN,2
LAW012,2025,37,KRLA2,1
LAW012,2025,37,ATCO,1
LAW012,2025,19,PSARM,5
LAW012,2025,19,LYAN,2
LAW012,2025,19,ATCO,1
LAW012,2025,19,LEFR2,1
LAW012,2025,19,ERIN4,1
LAW012,2025,19,XYTO2,1
LAW012,2025,36,PSARM,5
LAW012,2025,36,ATCO,1
LAW012,2025,36,LEFR2,1
LAW012,2025,36,SATR12,1
LAW012,2025,25,SATR12,13
LAW012,2025,23,PSARM,7
LAW012,2025,35,PSARM,12
LAW012,2025,35,ATCO,2
LAW012,2025,11,PSARM,3
LAW012,2025,11,ATCO,7
LAW012,2025,11,SAVE4,2
LAW012,2025,21,PSARM,1
LAW012,2025,21,ATCO,8
LAW012,2025,25,SATR12,11
LAW012,2025,25,ERMA2,1
LAW012,2025,25,ATCO,4
LAW012,2025,16,ATCO,1
LAW012,2025,16,PSARM,2
LAW012,2025,32,SATR12,5
LAW012,2025,32,ATCO,3
LAW012,2025,39,SATR12,1
LAW012,2025,39,ATCO,1
LAW012,2025,39,PSARM,9
LAW012,2025,3,SATR12,1
LAW012,2025,3,ATCO,5
LAW012,2025,27,BAHY,1
LAW012,2025,27,ATCO,5
LAW012,2025,30,ATCO,4
LAW012,2025,30,SAVE4,9
LAW012,2025,30,PSARM,1
LAW012,2025,30,SATR12,1
LAW012,2025,18,ATCO,1
LAW012,2025,18,PSARM,1
LAW012,2025,6,ATCO,2
LAW012,2025,6,PSARM,1
LAW012,2025,6,SATR12,2
LAW012,2025,13,ATCO,6
LAW012,2025,13,PSARM,2
LAW012,2025,13,LEFR2,2
LAW012,2025,13,KRLA2,1
LAW012,2025,1,PSARM,3
LAW012,2025,1,SATR12,1
LAW012,2025,17,PSARM,5
LAW012,2025,17,ATCO,1
LAW012,2025,17,ERIOG,1
LAW012,2025,9,PSARM,5
LAW012,2025,9,ATCO,1
LAW012,2025,22,PSARM,5
LAW012,2025,22,ATCO,4
LAW012,2025,28,PSARM,5
LAW012,2025,28,ATCO,3
LAW012,2025,28,KRLA2,3
LAW012,2025,4,PSARM,4
LAW012,2025,4,SATR12,4
LAW012,2025,4,KRLA2,1
LAW012,2025,26,PSARM,5
LAW012,2025,26,ATCO,5
LAW012,2025,10,PSARM,4
LAW012,2025,10,SATR12,1
LAW012,2025,10,ATCO,2
LAW012,2025,2,PSARM,6
LAW012,2025,2,SATR12,2
LAW012,2025,8,PSARM,14
LAW012,2025,8,LYAN,2
LAW012,2025,16,PSARM,8
LAW012,2025,16,ATCO,2
LAW012,2025,39,PSARM,9
LAW012,2025,20,PSARM,8
LAW012,2025,20,ATCO,3
LAW012,2025,7,PSARM,4
LAW012,2025,7,ATCO,4
LAW012,2025,7,SATR12,1
LAW012,2025,14,PSARM,7
LAW012,2025,14,ATCO,1
LAW012,2025,14,SATR12,2
LAW012,2025,24,SATR12,5
LAW012,2025,24,PSARM,15
LAW012,2025,24,ATCO,3
LAW012,2025,5,ATCO,3
LAW012,2025,5,LYAN,9
LAW012,2025,38,PSARM,9
LAW012,2025,38,ATCO,3
LAW012,2025,38,LYAN,2
LAW012,2025,38,KRLA2,2
LAW012,2025,40,SATR12,1
LAW012,2025,40,PSARM,5
LAW012,2025,40,ATCO,3
LAW012,2025,40,LYAN,2
LAW024,2025,3,ATCO,11
LAW024,2025,3,SATR12,3
LAW024,2025,9,ATCO,1
LAW024,2025,9,ERNA10,9
LAW024,2025,9,PSARM,1
LAW024,2025,9,ATCA2,1
LAW024,2025,10,PSARM,2
LAW024,2025,10,LYAN,14
LAW024,2025,7,ATCO,3
LAW024,2025,7,SATR12,1
LAW024,2025,7,PSARM,4
LAW024,2025,7,SAVE4,14
LAW024,2025,1,ATCO,2
LAW024,2025,1,PSARM,4
LAW024,2025,1,SAVE4,9
LAW024,2025,1,KRLA2,2
LAW024,2025,6,LYAN,15
LAW024,2025,5,LYAN,5
LAW024,2025,5,PSARM,3
LAW024,2025,8,LYAN,2
LAW024,2025,8,PSARM,3
LAW024,2025,8,ATCO,6
LAW024,2025,8,ERNA10,1
LAW024,2025,8,SAVE4,12
LAW024,2025,8,TEGL,2
LAW024,2025,4,LYAN,18
LAW024,2025,4,ATCO,2
LAW024,2025,2,LYAN,17
LAW048,2025,6,SAVE4,17
LAW048,2025,6,ATCO,3
LAW048,2025,2,SAVE4,4
LAW048,2025,2,ATCO,9
LAW048,2025,2,SUMO,1
LAW048,2025,1,SAVE4,4
LAW048,2025,1,ATCO,3
LAW048,2025,1,SUMO,1
LAW048,2025,1,ATTO,2
LAW048,2025,4,SAVE4,10
LAW048,2025,4,ATCO,8
LAW048,2025,4,ATTO,3
LAW048,2025,4,ERNA10,8
LAW048,2025,3,SAVE4,4
LAW048,2025,3,ATCO,2
LAW048,2025,3,TEGL,2
LAW048,2025,3,ERNA10,2
LAW048,2025,7,SAVE4,12
LAW048,2025,7,ATCO,3
LAW048,2025,7,TEGL,7
LAW048,2025,8,SAVE4,14
LAW048,2025,8,ATCO,4
LAW048,2025,5,SAVE4,12
LAW048,2025,5,ATCO,3
LAW048,2025,5,ERNA10,8
LAW091,2025,5,ATCO,3
LAW091,2025,5,PSPO,1
LAW091,2025,5,PSARM,4
LAW091,2025,5,KRLA2,1
LAW091,2025,5,GRSP,1
LAW091,2025,1,ATCO,2
LAW091,2025,1,PSARM,1
LAW091,2025,1,GRSP,1
LAW091,2025,1,LYAN,13
LAW091,2025,6,PSPO,3
LAW091,2025,6,KRLA2,2
LAW091,2025,6,SATR12,9
LAW091,2025,6,ATCA2,4
LAW091,2025,2,SATR12,8
LAW091,2025,2,ATCA2,1
LAW091,2025,3,SATR12,1
LAW091,2025,3,ATPO,7
LAW091,2025,7,HYSA,7
LAW091,2025,7,ATCO,1
LAW091,2025,7,PSARM,2
LAW091,2025,7,LYAN,2
LAW091,2025,4,ATCO,5
LAW091,2025,4,PSARM,2
LAW091,2025,4,TEAX,1
LAW091,2025,8,ATCO,4
LAW091,2025,8,PSARM,4
LAW091,2025,8,LYAN,4
LAW091,2025,6,SATR12,12
LAW091,2025,6,KRLA2,1
LAW091,2025,6,PSPO,4
LAW091,2025,2,SATR12,7
LAW091,2025,2,PSPO,6
LAW091,2025,2,ATCA2,6
LAW091,2025,3,SATR12,1
LAW091,2025,3,ATPO,19
LAW091,2025,7,HYSA,7
LAW091,2025,7,PSARM,6
LAW091,2025,7,ATCO,2
LAW091,2025,4,ATCO,6
LAW091,2025,4,LYAN,5
LAW091,2025,4,TEAX,1
LAW091,2025,8,LYAN,5
LAW091,2025,8,ATCO,3
LAW091,2025,8,PSARM,5
LAW091,2025,5,ATCO,4
LAW091,2025,5,PSARM,3
LAW091,2025,5,KRLA2,6
LAW091,2025,5,SPAM2,1
LAW091,2025,5,SATR12,1
LAW091,2025,5,HYSA,5
LAW091,2025,5,TEAX,2
LAW091,2025,5,GRSP,6
LAW091,2025,1,LYAN,6
LAW091,2025,1,ATCO,3
LAW091,2025,1,GRSP,2
LAW093,2025,5,ATCA2,12
LAW093,2025,5,PSPO,11
LAW093,2025,5,PSARM,10
LAW093,2025,5,KRLA2,2
LAW093,2025,5,SATR12,1
LAW093,2025,3,PSPO,2
LAW093,2025,3,PSARM,11
LAW093,2025,3,KRLA2,7
LAW093,2025,3,TEAX,4
LAW093,2025,3,ATCO,1
LAW093,2025,1,PSARM,9
LAW093,2025,1,KRLA2,11
LAW093,2025,1,SATR12,1
LAW093,2025,1,TEAX,1
LAW093,2025,1,ATCO,1
LAW093,2025,4,PSARM,9
LAW093,2025,4,KRLA2,8
LAW093,2025,4,TEAX,3
LAW093,2025,2,ATCA2,1
LAW093,2025,2,PSPO,4
LAW093,2025,2,PSARM,3
LAW093,2025,2,KRLA2,3
LAW093,2025,2,TEAX,2
LAW117,2025,13,PSARM,1
LAW117,2025,13,ATCO,10
LAW117,2025,13,KRLA2,1
LAW117,2025,27,PSARM,6
LAW117,2025,27,ATCO,2
LAW117,2025,28,PSARM,4
LAW117,2025,28,ATCO,5
LAW117,2025,5,PSARM,5
LAW117,2025,5,KRLA2,5
LAW117,2025,5,TEAX,4
LAW117,2025,17,ATCO,5
LAW117,2025,17,SART12,1
LAW117,2025,19,ATCO,12
LAW117,2025,19,PSARM,3
LAW117,2025,3,ATCO,4
LAW117,2025,3,KRLA2,3
LAW117,2025,3,PSARM,7
LAW117,2025,7,ATCO,10
LAW117,2025,7,PSARM,3
LAW117,2025,6,ATCO,5
LAW117,2025,6,PSARM,7
LAW117,2025,6,EPHED,1
LAW117,2025,6,TEAX,1
LAW117,2025,25,ATCO,5
LAW117,2025,25,PSARM,1
LAW117,2025,8,ATCO,9
LAW117,2025,8,PSARM,8
LAW117,2025,8,EPHED,2
LAW117,2025,10,SATR12,1
LAW117,2025,10,KRLA2,2
LAW117,2025,10,PSARM,5
LAW117,2025,29,KRLA2,1
LAW117,2025,29,PSARM,5
LAW117,2025,29,TEAX,3
LAW117,2025,20,KRLA2,2
LAW117,2025,20,PSARM,5
LAW117,2025,20,ATCO,4
LAW117,2025,14,KRLA2,7
LAW117,2025,14,PSARM,6
LAW117,2025,14,ATCO,2
LAW117,2025,4,PSARM,13
LAW117,2025,4,ATCO,2
LAW117,2025,2,KRLA2,10
LAW117,2025,2,PSARM,3
LAW117,2025,2,ATCO,1
LAW117,2025,2,PIDE4,1
LAW117,2025,1,KRLA2,7
LAW117,2025,1,PSARM,9
LAW117,2025,19,KRLA2,2
LAW117,2025,19,PSARM,5
LAW117,2025,19,ATCO,7
LAW117,2025,22,PSARM,10
LAW117,2025,22,ATCO,3
LAW117,2025,9,KRLA2,8
LAW117,2025,9,PSARM,5
LAW117,2025,11,ATPO,31
LAW117,2025,12,KRLA2,3
LAW117,2025,12,PSARM,4
LAW117,2025,12,ATCO,5
LAW117,2025,26,PSARM,11
LAW117,2025,26,ATCO,3
LAW117,2025,26,EPHED,1
LAW117,2025,23,PSARM,7
LAW117,2025,23,ATCO,4
LAW117,2025,23,ERIN4,1
LAW117,2025,21,KRLA2,3
LAW117,2025,21,PSARM,9
LAW117,2025,21,ATCO,2
LAW117,2025,21,TEAX,1
LAW117,2025,21,XYTO2,1
LAW117,2025,30,PSARM,11
LAW117,2025,30,ERIN4,1
LAW117,2025,30,ATCO,5
LAW117,2025,15,PSARM,8
LAW117,2025,15,ATCO,5
LAW117,2025,15,TEAX,2
LAW117,2025,24,PSARM,10
LAW117,2025,24,ATCO,8
LAW117,2025,18,PSARM,13
LAW117,2025,18,TEAX,2
LAW117,2025,16,PSARM,12
LAW117,2025,16,ATCO,1
LAW117,2025,16,KRLA2,3
LAW130,2025,2,PSARM,2
LAW130,2025,2,ATPO,7
LAW130,2025,2,SATR12,1
LAW130,2025,7,ATPO,7
LAW130,2025,1,ATPO,11
LAW130,2025,6,PSARM,5
LAW130,2025,6,ATPO,14
LAW130,2025,5,ATPO,14
LAW130,2025,10,ATPO,15
LAW130,2025,10,LYAN,2
LAW130,2025,4,ATPO,20
LAW130,2025,8,ATPO,16
LAW130,2025,3,ATPO,11
LAW130,2025,3,PSARM,1
LAW130,2025,9,ATPO,20
LAW134,2025,1,ATCO,5
LAW134,2025,1,ATPO,14
LAW134,2025,4,ATCO,5
LAW134,2025,4,ATPO,12
LAW134,2025,4,LYAN,2
LAW134,2025,7,ATPO,24
LAW134,2025,7,GRSP,2
LAW134,2025,7,PSARM,1
LAW134,2025,5,ATPO,14
LAW134,2025,5,LYAN,5
LAW134,2025,5,XYTO,1
LAW134,2025,16,ATCO,4
LAW134,2025,16,PSARM,10
LAW134,2025,2,ATPO,11
LAW134,2025,2,LYAN,2
LAW134,2025,12,LYAN,3
LAW134,2025,12,PSARM,4
LAW134,2025,12,ATCO,9
LAW134,2025,6,ATPO,16
LAW134,2025,6,LYAN,1
LAW134,2025,6,ATCO,1
LAW134,2025,20,ATPO,3
LAW134,2025,20,PSARM,6
LAW134,2025,20,ATCO,3
LAW134,2025,19,LYAN,2
LAW134,2025,19,PSARM,1
LAW134,2025,19,ATCO,2
LAW134,2025,19,ERIN4,2
LAW134,2025,14,ERIN4,2
LAW134,2025,14,LYAN,2
LAW134,2025,14,ATPO,3
LAW134,2025,17,ATPO,9
LAW134,2025,17,ATCO,3
LAW134,2025,17,GRSP,1
LAW134,2025,3,LYAN,1
LAW134,2025,3,ATCO,4
LAW134,2025,3,AMDU2,9
LAW134,2025,3,MESP2,2
LAW134,2025,3,XYTO2,1
LAW134,2025,18,ERIN4,1
LAW134,2025,18,LYAN,5
LAW134,2025,18,ATCO,4
LAW134,2025,18,XYTO2,3
LAW134,2025,18,STPA4,1
LAW134,2025,9,ATPO,22
LAW134,2025,9,ATCO,7
LAW134,2025,15,ATCO,3
LAW134,2025,15,LYAN,4
LAW134,2025,15,ATPO,2
LAW134,2025,11,ATCO,7
LAW134,2025,11,PSARM,8
LAW134,2025,8,ATPO,20
LAW134,2025,13,ATCO,3
LAW134,2025,13,ATPO,23
LAW134,2025,10,ATCO,16
LAW134,2025,10,ATPO,3
LAW134,2025,10,PSARM,2
LAW134,2025,10,ERIN4,1
LAW134,2025,10,MESP2,1
LAW049,2025,8,NO_COVER,1
