parcel,transect,species,hits,year,bearing.x,parcel_aggregate,bearing.y,geometry,NameChange,SubClass,SuperOrder,alt_order,Order,Family,Species,Genus,Species.1,CommonName,OtherNotes,SourceCode,Phreatophyte,Noxious,Toxic,WeedyInOV,RareOrUncommon,Lifecycle,Veg_Type,USDA0,USDA8,Group,Provenance,Lifeform,Spore.Seed,Gymnosperm.Angio,Monocot.Dicot,tbl_species_veg_type_ID,addition_origin,percent_cover
LAW095,23,SPAI,3,2022,NA,LAW095,40,"c(381876, 4141898)",0,NA,NA,NA,Poales,Poaceae,Sporobolus airoides,Sporobolus,airoides,"sacaton, Alkali",NA,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,grass,FAC+,FAC,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA,1.5
LAW095,23,ERNA10,10,2022,NA,LAW095,40,"c(381876, 4141898)",0,NA,NA,NA,Asterales,Asteraceae,Ericameria nauseosa,Ericameria,nauseosa,"rabbitbrush, Common",NA,"1,4,6,7,8",0,0,0,0,0,Perennial,shrub,n/a,n/a,NA,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,0,NA,5
LAW095,23,ATTO,5,2022,NA,LAW095,40,"c(381876, 4141898)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex torreyi,Atriplex,torreyi,"saltbush, Nevada/Torrey's",NA,"1,2,3,4,5,6,8",GW dependent,0,0,0,0,Perennial,shrub,FAC,FAC-,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,2.5
LAW095,23,DISP,3,2022,NA,LAW095,40,"c(381876, 4141898)",0,NA,NA,NA,Poales,Poaceae,Distichlis spicata,Distichlis,spicata,Saltgrass,NA,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,grass,FACW,FAC+*,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA,1.5
LAW095,23,ATTO,2,2022,NA,LAW095,40,"c(381876, 4141898)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex torreyi,Atriplex,torreyi,"saltbush, Nevada/Torrey's",NA,"1,2,3,4,5,6,8",GW dependent,0,0,0,0,Perennial,shrub,FAC,FAC-,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,1
LAW095,23,LYCO,1,2022,NA,LAW095,40,"c(381876, 4141898)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
LAW095,23,LECI4,1,2022,NA,LAW095,40,"c(381876, 4141898)",-1,NA,NA,NA,Poales,Poaceae,Leymus cinereus,Leymus,cinereus,"wildrye, Great Basin",Elymus cinereus,"1,2,3,4,6,7,8",GW dependent,0,0,0,0,Perennial,grass,NI,NI,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA,0.5
LAW095,23,LETR5,3,2022,NA,LAW095,40,"c(381876, 4141898)",-1,NA,NA,NA,Poales,Poaceae,Leymus triticoides,Leymus,triticoides,"wildrye, Beardless/Creeping",Elymus tritocoides,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,grass,FAC+,FAC+,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA,1.5
LAW095,24,ERNA10,12,2022,NA,LAW095,120,"c(381919, 4142151)",0,NA,NA,NA,Asterales,Asteraceae,Ericameria nauseosa,Ericameria,nauseosa,"rabbitbrush, Common",NA,"1,4,6,7,8",0,0,0,0,0,Perennial,shrub,n/a,n/a,NA,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,0,NA,6
LAW095,24,ATTO,12,2022,NA,LAW095,120,"c(381919, 4142151)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex torreyi,Atriplex,torreyi,"saltbush, Nevada/Torrey's",NA,"1,2,3,4,5,6,8",GW dependent,0,0,0,0,Perennial,shrub,FAC,FAC-,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,6
LAW095,24,ATCA2,2,2022,NA,LAW095,120,"c(381919, 4142151)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex canescens,Atriplex,canescens,"saltbush, Fourwing",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,UPL,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,1
LAW095,25,ATTO,5,2022,NA,LAW095,320,"c(381925, 4141940)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex torreyi,Atriplex,torreyi,"saltbush, Nevada/Torrey's",NA,"1,2,3,4,5,6,8",GW dependent,0,0,0,0,Perennial,shrub,FAC,FAC-,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,2.5
LAW095,25,SPAI,1,2022,NA,LAW095,320,"c(381925, 4141940)",0,NA,NA,NA,Poales,Poaceae,Sporobolus airoides,Sporobolus,airoides,"sacaton, Alkali",NA,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,grass,FAC+,FAC,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA,0.5
LAW095,25,ATCA2,12,2022,NA,LAW095,320,"c(381925, 4141940)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex canescens,Atriplex,canescens,"saltbush, Fourwing",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,UPL,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,6
LAW095,25,ATPO,16,2022,NA,LAW095,320,"c(381925, 4141940)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex polycarpa,Atriplex,polycarpa,"saltbush, Allscale",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,FACU,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,8
LAW095,25,SATR12,1,2022,NA,LAW095,320,"c(381925, 4141940)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Salsola tragus,Salsola,tragus,"Tumbleweed /thistle, Russian",NA,"1,3,4,8",0,-1,0,-1,0,Annual,weed,FACU,FACU,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA,0.5
LAW095,26,SATR12,3,2022,NA,LAW095,40,"c(381952, 4141858)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Salsola tragus,Salsola,tragus,"Tumbleweed /thistle, Russian",NA,"1,3,4,8",0,-1,0,-1,0,Annual,weed,FACU,FACU,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA,1.5
LAW095,26,ATCA2,18,2022,NA,LAW095,40,"c(381952, 4141858)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex canescens,Atriplex,canescens,"saltbush, Fourwing",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,UPL,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,9
LAW095,26,SPAI,9,2022,NA,LAW095,40,"c(381952, 4141858)",0,NA,NA,NA,Poales,Poaceae,Sporobolus airoides,Sporobolus,airoides,"sacaton, Alkali",NA,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,grass,FAC+,FAC,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA,4.5
LAW095,26,ERNA10,4,2022,NA,LAW095,40,"c(381952, 4141858)",0,NA,NA,NA,Asterales,Asteraceae,Ericameria nauseosa,Ericameria,nauseosa,"rabbitbrush, Common",NA,"1,4,6,7,8",0,0,0,0,0,Perennial,shrub,n/a,n/a,NA,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,0,NA,2
LAW095,26,ATTO,3,2022,NA,LAW095,40,"c(381952, 4141858)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex torreyi,Atriplex,torreyi,"saltbush, Nevada/Torrey's",NA,"1,2,3,4,5,6,8",GW dependent,0,0,0,0,Perennial,shrub,FAC,FAC-,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,1.5
LAW095,26,DISP,1,2022,NA,LAW095,40,"c(381952, 4141858)",0,NA,NA,NA,Poales,Poaceae,Distichlis spicata,Distichlis,spicata,Saltgrass,NA,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,grass,FACW,FAC+*,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA,0.5
LAW095,27,ERNA10,4,2022,NA,LAW095,120,"c(381966, 4142075)",0,NA,NA,NA,Asterales,Asteraceae,Ericameria nauseosa,Ericameria,nauseosa,"rabbitbrush, Common",NA,"1,4,6,7,8",0,0,0,0,0,Perennial,shrub,n/a,n/a,NA,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,0,NA,2
LAW095,27,ATCA2,2,2022,NA,LAW095,120,"c(381966, 4142075)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex canescens,Atriplex,canescens,"saltbush, Fourwing",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,UPL,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,1
LAW095,27,SPAI,3,2022,NA,LAW095,120,"c(381966, 4142075)",0,NA,NA,NA,Poales,Poaceae,Sporobolus airoides,Sporobolus,airoides,"sacaton, Alkali",NA,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,grass,FAC+,FAC,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA,1.5
LAW095,27,SATR12,4,2022,NA,LAW095,120,"c(381966, 4142075)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Salsola tragus,Salsola,tragus,"Tumbleweed /thistle, Russian",NA,"1,3,4,8",0,-1,0,-1,0,Annual,weed,FACU,FACU,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA,2
LAW095,27,DISP,2,2022,NA,LAW095,120,"c(381966, 4142075)",0,NA,NA,NA,Poales,Poaceae,Distichlis spicata,Distichlis,spicata,Saltgrass,NA,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,grass,FACW,FAC+*,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA,1
LAW095,28,SATR12,1,2022,NA,LAW095,220,"c(381987, 4141995)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Salsola tragus,Salsola,tragus,"Tumbleweed /thistle, Russian",NA,"1,3,4,8",0,-1,0,-1,0,Annual,weed,FACU,FACU,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA,0.5
LAW095,28,ERNA10,1,2022,NA,LAW095,220,"c(381987, 4141995)",0,NA,NA,NA,Asterales,Asteraceae,Ericameria nauseosa,Ericameria,nauseosa,"rabbitbrush, Common",NA,"1,4,6,7,8",0,0,0,0,0,Perennial,shrub,n/a,n/a,NA,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,0,NA,0.5
LAW095,28,ATPO,27,2022,NA,LAW095,220,"c(381987, 4141995)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex polycarpa,Atriplex,polycarpa,"saltbush, Allscale",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,FACU,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,13.5
LAW095,28,ATCA2,6,2022,NA,LAW095,220,"c(381987, 4141995)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex canescens,Atriplex,canescens,"saltbush, Fourwing",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,UPL,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,3
LAW095,28,ATTO,3,2022,NA,LAW095,220,"c(381987, 4141995)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex torreyi,Atriplex,torreyi,"saltbush, Nevada/Torrey's",NA,"1,2,3,4,5,6,8",GW dependent,0,0,0,0,Perennial,shrub,FAC,FAC-,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,1.5
LAW095,28,SPAI,1,2022,NA,LAW095,220,"c(381987, 4141995)",0,NA,NA,NA,Poales,Poaceae,Sporobolus airoides,Sporobolus,airoides,"sacaton, Alkali",NA,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,grass,FAC+,FAC,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA,0.5
LAW095,29,ATPO,2,2022,NA,LAW095,40,"c(382013, 4141823)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex polycarpa,Atriplex,polycarpa,"saltbush, Allscale",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,FACU,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,1
LAW095,29,ATCA2,4,2022,NA,LAW095,40,"c(382013, 4141823)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex canescens,Atriplex,canescens,"saltbush, Fourwing",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,UPL,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,2
LAW095,29,ERNA10,11,2022,NA,LAW095,40,"c(382013, 4141823)",0,NA,NA,NA,Asterales,Asteraceae,Ericameria nauseosa,Ericameria,nauseosa,"rabbitbrush, Common",NA,"1,4,6,7,8",0,0,0,0,0,Perennial,shrub,n/a,n/a,NA,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,0,NA,5.5
LAW095,29,LETR5,2,2022,NA,LAW095,40,"c(382013, 4141823)",-1,NA,NA,NA,Poales,Poaceae,Leymus triticoides,Leymus,triticoides,"wildrye, Beardless/Creeping",Elymus tritocoides,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,grass,FAC+,FAC+,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA,1
LAW095,30,SATR12,1,2022,NA,LAW095,40,"c(382033, 4141910)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Salsola tragus,Salsola,tragus,"Tumbleweed /thistle, Russian",NA,"1,3,4,8",0,-1,0,-1,0,Annual,weed,FACU,FACU,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA,0.5
LAW095,30,ATPO,10,2022,NA,LAW095,40,"c(382033, 4141910)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex polycarpa,Atriplex,polycarpa,"saltbush, Allscale",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,FACU,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,5
LAW095,30,ATCA2,7,2022,NA,LAW095,40,"c(382033, 4141910)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex canescens,Atriplex,canescens,"saltbush, Fourwing",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,UPL,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,3.5
LAW095,30,ERNA10,8,2022,NA,LAW095,40,"c(382033, 4141910)",0,NA,NA,NA,Asterales,Asteraceae,Ericameria nauseosa,Ericameria,nauseosa,"rabbitbrush, Common",NA,"1,4,6,7,8",0,0,0,0,0,Perennial,shrub,n/a,n/a,NA,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,0,NA,4
LAW095,30,AMDU2,3,2022,NA,LAW095,40,"c(382033, 4141910)",0,NA,NA,NA,Asterales,Asteraceae,Ambrosia dumosa,Ambrosia,dumosa,Burrow-bush,NA,"1,2,4,8",0,0,0,0,0,Perennial,shrub,n/a,n/a,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,1.5
LAW095,31,SATR12,2,2022,NA,LAW095,120,"c(382034, 4142126)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Salsola tragus,Salsola,tragus,"Tumbleweed /thistle, Russian",NA,"1,3,4,8",0,-1,0,-1,0,Annual,weed,FACU,FACU,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA,1
LAW095,31,ATPO,5,2022,NA,LAW095,120,"c(382034, 4142126)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex polycarpa,Atriplex,polycarpa,"saltbush, Allscale",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,FACU,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,2.5
LAW095,31,ERNA10,5,2022,NA,LAW095,120,"c(382034, 4142126)",0,NA,NA,NA,Asterales,Asteraceae,Ericameria nauseosa,Ericameria,nauseosa,"rabbitbrush, Common",NA,"1,4,6,7,8",0,0,0,0,0,Perennial,shrub,n/a,n/a,NA,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,0,NA,2.5
LAW095,31,ATCA2,3,2022,NA,LAW095,120,"c(382034, 4142126)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex canescens,Atriplex,canescens,"saltbush, Fourwing",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,UPL,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,1.5
LAW095,32,SATR12,9,2022,NA,LAW095,120,"c(382054, 4142038)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Salsola tragus,Salsola,tragus,"Tumbleweed /thistle, Russian",NA,"1,3,4,8",0,-1,0,-1,0,Annual,weed,FACU,FACU,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA,4.5
LAW095,32,ATPO,5,2022,NA,LAW095,120,"c(382054, 4142038)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex polycarpa,Atriplex,polycarpa,"saltbush, Allscale",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,FACU,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,2.5
LAW095,32,ATCA2,7,2022,NA,LAW095,120,"c(382054, 4142038)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex canescens,Atriplex,canescens,"saltbush, Fourwing",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,UPL,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,3.5
LAW095,33,DISP,2,2022,NA,LAW095,40,"c(382082, 4141873)",0,NA,NA,NA,Poales,Poaceae,Distichlis spicata,Distichlis,spicata,Saltgrass,NA,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,grass,FACW,FAC+*,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA,1
LAW095,33,SATR12,2,2022,NA,LAW095,40,"c(382082, 4141873)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Salsola tragus,Salsola,tragus,"Tumbleweed /thistle, Russian",NA,"1,3,4,8",0,-1,0,-1,0,Annual,weed,FACU,FACU,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA,1
LAW095,33,ATTO,9,2022,NA,LAW095,40,"c(382082, 4141873)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex torreyi,Atriplex,torreyi,"saltbush, Nevada/Torrey's",NA,"1,2,3,4,5,6,8",GW dependent,0,0,0,0,Perennial,shrub,FAC,FAC-,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,4.5
LAW095,33,ATPO,5,2022,NA,LAW095,40,"c(382082, 4141873)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex polycarpa,Atriplex,polycarpa,"saltbush, Allscale",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,FACU,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,2.5
LAW095,33,SPAI,4,2022,NA,LAW095,40,"c(382082, 4141873)",0,NA,NA,NA,Poales,Poaceae,Sporobolus airoides,Sporobolus,airoides,"sacaton, Alkali",NA,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,grass,FAC+,FAC,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA,2
LAW095,33,ATCA2,2,2022,NA,LAW095,40,"c(382082, 4141873)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex canescens,Atriplex,canescens,"saltbush, Fourwing",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,UPL,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,1
LAW095,33,LEFR2,1,2022,NA,LAW095,40,"c(382082, 4141873)",0,NA,NA,NA,Capparales,Brassicaceae,Lepidium fremontii,Lepidium,fremontii,"alyssum, Desert",NA,"1,2,3,4,7",0,0,0,0,0,Perennial,shrub,n/a,n/a,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,0.5
LAW095,33,ERNA10,5,2022,NA,LAW095,40,"c(382082, 4141873)",0,NA,NA,NA,Asterales,Asteraceae,Ericameria nauseosa,Ericameria,nauseosa,"rabbitbrush, Common",NA,"1,4,6,7,8",0,0,0,0,0,Perennial,shrub,n/a,n/a,NA,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,0,NA,2.5
LAW095,34,SATR12,6,2022,NA,LAW095,320,"c(382105, 4141951)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Salsola tragus,Salsola,tragus,"Tumbleweed /thistle, Russian",NA,"1,3,4,8",0,-1,0,-1,0,Annual,weed,FACU,FACU,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA,3
LAW095,34,DISP,7,2022,NA,LAW095,320,"c(382105, 4141951)",0,NA,NA,NA,Poales,Poaceae,Distichlis spicata,Distichlis,spicata,Saltgrass,NA,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,grass,FACW,FAC+*,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA,3.5
LAW095,34,ERNA10,10,2022,NA,LAW095,320,"c(382105, 4141951)",0,NA,NA,NA,Asterales,Asteraceae,Ericameria nauseosa,Ericameria,nauseosa,"rabbitbrush, Common",NA,"1,4,6,7,8",0,0,0,0,0,Perennial,shrub,n/a,n/a,NA,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,0,NA,5
LAW095,34,ATPO,8,2022,NA,LAW095,320,"c(382105, 4141951)",0,NA,NA,NA,Caryophyllales,Chenopodiaceae,Atriplex polycarpa,Atriplex,polycarpa,"saltbush, Allscale",NA,"1,2,3,4,6,7,8",0,0,0,0,0,Perennial,shrub,FACU,FACU,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA,4
