parcel,sheet,survey_year,n_transects,mean_cover_pct,stdev_cover_pct,ci80_margin,upper_ci80_pct,target_cover_pct,cover_met,species_richness,target_species_richness,species_richness_met
TIN054,TIN054,1999,13,4.488133311662724,5.596022092161909,2.104926981516888,6.593060293179612,29.7,FALSE,4,2.25,TRUE
TIN054,TIN054,2004,13,4.270043465786375,3.7269884007628145,1.4018955456866957,5.671939011473071,29.7,FALSE,4,2.25,TRUE
TIN054,TIN054,2012,13,2.481558929451454,2.804710481685272,1.054983463434073,3.536542392885527,29.7,FALSE,4,2.25,TRUE
TIN054,TIN054,2016,13,1.2148884866937606,2.16455566807984,0.8141911439410278,2.0290796306347882,29.7,FALSE,2,2.25,FALSE
TIN054,TIN054,2017,13,4.495802477612104,4.480755516404288,1.6854227929640448,6.181225270576149,29.7,FALSE,4,2.25,TRUE
BIS097,BIS097,1999,42,3.1175795834805164,4.176513640188107,0.8394241273905179,3.9570037108710343,13.5,FALSE,3,9,FALSE
BIS097,BIS097,2003,42,3.758492956088074,5.066500073663868,1.0182996560422435,4.7767926121303175,13.5,FALSE,4,9,FALSE
BIS097,BIS097,2007,42,3.274467575975114,3.717870462828851,0.7472429011079508,4.021710477083064,13.5,FALSE,4,9,FALSE
BIS097,BIS097,2012,42,5.000841750841751,4.660145395793981,0.936627728145314,5.937469478987065,13.5,FALSE,4,9,FALSE
BIS097,BIS097,2016,42,6.095238095238095,3.8654790118054554,0.7769102715740236,6.872148366812119,13.5,FALSE,4,9,FALSE
BIS097,BIS097,2017,42,9.600655076845552,5.686352584215327,1.1428818309389703,10.743536907784522,13.5,FALSE,4,9,FALSE
BGP160E,BGP160,1999,53,2.4150943396226414,3.754146232265943,0.6693650069885149,3.0844593466111565,15.93,FALSE,11,7.5,TRUE
BGP160E,BGP160,2006,53,3.2547169811320753,4.782402278455392,0.8527032610043019,4.107420242136377,15.93,FALSE,11,7.5,TRUE
BGP160E,BGP160,2012,53,3.1261278342126912,4.013547581125181,0.7156163181920188,3.84174415240471,15.93,FALSE,9,7.5,TRUE
BGP160E,BGP160,2016,53,2.0283018867924527,1.9841077590240528,0.35376680124244553,2.3820686880348982,15.93,FALSE,9,7.5,TRUE
BGP160E,BGP160,2017,53,4.6415094339622645,4.1986460254497135,0.7486194069939355,5.3901288409562,15.93,FALSE,13,7.5,TRUE
BGP160E,BGP160,2019,53,9.679245283018869,6.062252643346049,1.0809008312204746,10.760146114239344,15.93,FALSE,11,7.5,TRUE
BGP160W,BGP160W,2013,5,1.7591349739000748,2.11947347188515,1.4532608388897295,3.2123958127898042,15.93,FALSE,1,7.5,FALSE
BGP160W,BGP160W,2016,5,2.264504101416853,2.6404398239177205,1.8104721971969313,4.074976298613785,15.93,FALSE,1,7.5,FALSE
BGP160W,BGP160W,2017,5,4.1578672632363904,3.876072654513733,2.657709413312915,6.8155766765493055,15.93,FALSE,1,7.5,FALSE
LAW118,LAW118,1999,23,0.7542321276336621,1.4977536214494023,0.412626487174117,1.166858614807779,10.35,FALSE,4,8.25,FALSE
LAW118,LAW118,2006,23,1.6243556074311838,2.5640910199948186,0.7063991401678629,2.3307547475990464,10.35,FALSE,9,8.25,TRUE
LAW118,LAW118,2012,23,1.7906332068864896,3.185267471971199,0.8775313301513237,2.6681645370378133,10.35,FALSE,10,8.25,TRUE
LAW118,LAW118,2016,23,2.290469172193564,4.873003404095522,1.3424973559226856,3.63296652811625,10.35,FALSE,13,8.25,TRUE
LAW118,LAW118,2017,23,6.2620874436731215,10.300030334713083,2.837626478703915,9.099713922377036,10.35,FALSE,23,8.25,TRUE
