parcel,year,transect,species,hits,Lifeform,Lifecycle
LAW012,2024,22,SATR12,1,Herb,Annual
LAW012,2024,23,ATCO,2,Shrub,Perennial
LAW012,2024,23,PSARM,5,Shrub,Perennial
LAW012,2024,23,SATR12,1,Herb,Annual
LAW012,2024,24,PSARM,8,Shrub,Perennial
LAW012,2024,24,SATR12,1,Herb,Annual
LAW012,2024,25,ATCO,1,Shrub,Perennial
LAW012,2024,25,SATR12,4,Herb,Annual
LAW012,2024,26,ATCO,3,Shrub,Perennial
LAW012,2024,26,PSARM,5,Shrub,Perennial
LAW012,2024,26,SATR12,2,Herb,Annual
LAW012,2024,27b,ATCO,1,Shrub,Perennial
LAW012,2024,27b,ERNA10,11,Shrub,Perennial
LAW012,2024,27b,SAVE4,8,Shrub,Perennial
LAW012,2024,28,ATCO,1,Shrub,Perennial
LAW012,2024,28,PSARM,2,Shrub,Perennial
LAW012,2024,28,SATR12,2,Herb,Annual
LAW012,2024,29,PSARM,2,Shrub,Perennial
LAW012,2024,29,PSPO,6,Shrub,Perennial
LAW012,2024,29,SATR12,7,Herb,Annual
LAW012,2024,3,ATCO,1,Shrub,Perennial
LAW012,2024,3,LEFR2,1,Shrub,Perennial
LAW012,2024,3,PSARM,3,Shrub,Perennial
LAW012,2024,3,SATR12,1,Herb,Annual
LAW012,2024,3,SAVE4,2,Shrub,Perennial
LAW012,2024,30,ATCO,4,Shrub,Perennial
LAW012,2024,30,LEFR2,1,Shrub,Perennial
LAW012,2024,30,LYAN,1,Shrub,Perennial
LAW012,2024,30,PSARM,5,Shrub,Perennial
LAW012,2024,30,SATR12,2,Herb,Annual
LAW012,2024,4,ATCO,2,Shrub,Perennial
LAW012,2024,4,PSARM,4,Shrub,Perennial
LAW012,2024,4,SATR12,3,Herb,Annual
LAW012,2024,5b,ATCO,1,Shrub,Perennial
LAW012,2024,5b,ERIN4,1,Herb,Annual/Perennial
LAW012,2024,5b,PSARM,12,Shrub,Perennial
LAW012,2024,5b,SATR12,1,Herb,Annual
LAW012,2024,6,ATCO,6,Shrub,Perennial
LAW012,2024,6,ERNA10,6,Shrub,Perennial
LAW012,2024,6,PSARM,1,Shrub,Perennial
LAW012,2024,7,ATCO,2,Shrub,Perennial
LAW012,2024,7,KRLA2,1,Shrub,Perennial
LAW012,2024,7,PSARM,11,Shrub,Perennial
LAW012,2024,7,SATR12,5,Herb,Annual
LAW012,2024,8,ERIN4,1,Herb,Annual/Perennial
LAW012,2024,8,KRLA2,1,Shrub,Perennial
LAW012,2024,8,PSARM,9,Shrub,Perennial
LAW012,2024,9,KRLA2,1,Shrub,Perennial
LAW012,2024,9,PSARM,19,Shrub,Perennial
LAW012,2024,9,SATR12,3,Herb,Annual
LAW012,2025,1,PSARM,3,Shrub,Perennial
LAW012,2025,1,SATR12,1,Herb,Annual
LAW012,2025,10,ATCO,2,Shrub,Perennial
LAW012,2025,10,PSARM,4,Shrub,Perennial
LAW012,2025,10,SATR12,1,Herb,Annual
LAW012,2025,11,ATCO,7,Shrub,Perennial
LAW012,2025,11,PSARM,3,Shrub,Perennial
LAW012,2025,11,SAVE4,2,Shrub,Perennial
LAW012,2025,12,LYAN,2,Shrub,Perennial
LAW012,2025,12,PSARM,8,Shrub,Perennial
LAW012,2025,13,ATCO,6,Shrub,Perennial
LAW012,2025,13,KRLA2,1,Shrub,Perennial
LAW012,2025,13,LEFR2,2,Shrub,Perennial
LAW012,2025,13,PSARM,2,Shrub,Perennial
LAW012,2025,14,ATCO,1,Shrub,Perennial
LAW012,2025,14,PSARM,7,Shrub,Perennial
LAW012,2025,14,SATR12,2,Herb,Annual
LAW012,2025,15,ATCO,1,Shrub,Perennial
LAW012,2025,15,HYSA,1,Shrub,Perennial
LAW012,2025,15,LYAN,5,Shrub,Perennial
LAW012,2025,15,PSARM,9,Shrub,Perennial
LAW012,2025,16,ATCO,1,Shrub,Perennial
LAW012,2025,16,ATCO,2,Shrub,Perennial
LAW012,2025,16,PSARM,2,Shrub,Perennial
LAW012,2025,16,PSARM,8,Shrub,Perennial
LAW012,2025,17,ATCO,1,Shrub,Perennial
LAW012,2025,17,ERIOG,1,Herb_Shrub,Annual/Perennial
LAW012,2025,17,PSARM,5,Shrub,Perennial
LAW012,2025,18,ATCO,1,Shrub,Perennial
LAW012,2025,18,PSARM,1,Shrub,Perennial
LAW012,2025,19,ATCO,1,Shrub,Perennial
LAW012,2025,19,ERIN4,1,Herb,Annual/Perennial
LAW012,2025,19,LEFR2,1,Shrub,Perennial
LAW012,2025,19,LYAN,2,Shrub,Perennial
LAW012,2025,19,PSARM,5,Shrub,Perennial
LAW012,2025,19,XYTO2,1,Shrub,Perennial
LAW012,2025,2,PSARM,6,Shrub,Perennial
LAW012,2025,2,SATR12,2,Herb,Annual
LAW012,2025,20,ATCO,3,Shrub,Perennial
LAW012,2025,20,PSARM,8,Shrub,Perennial
LAW012,2025,21,ATCO,8,Shrub,Perennial
LAW012,2025,21,PSARM,1,Shrub,Perennial
LAW012,2025,22,ATCO,4,Shrub,Perennial
LAW012,2025,22,PSARM,5,Shrub,Perennial
LAW012,2025,23,PSARM,7,Shrub,Perennial
LAW012,2025,24,ATCO,3,Shrub,Perennial
LAW012,2025,24,PSARM,15,Shrub,Perennial
LAW012,2025,24,SATR12,5,Herb,Annual
LAW012,2025,25,ATCO,4,Shrub,Perennial
LAW012,2025,25,ERMA2,1,Herb,Annual
LAW012,2025,25,SATR12,13,Herb,Annual
LAW012,2025,25,SATR12,11,Herb,Annual
LAW012,2025,26,ATCO,5,Shrub,Perennial
LAW012,2025,26,PSARM,5,Shrub,Perennial
LAW012,2025,27,ATCO,5,Shrub,Perennial
LAW012,2025,27,BAHY,1,Herb,Annual
LAW012,2025,28,ATCO,3,Shrub,Perennial
LAW012,2025,28,KRLA2,3,Shrub,Perennial
LAW012,2025,28,PSARM,5,Shrub,Perennial
LAW012,2025,29,ATCO,3,Shrub,Perennial
LAW012,2025,29,KRLA2,2,Shrub,Perennial
LAW012,2025,29,PSARM,5,Shrub,Perennial
LAW012,2025,29,PSPO,7,Shrub,Perennial
LAW012,2025,29,SATR12,1,Herb,Annual
LAW012,2025,3,ATCO,5,Shrub,Perennial
LAW012,2025,3,SATR12,1,Herb,Annual
LAW012,2025,30,ATCO,4,Shrub,Perennial
LAW012,2025,30,PSARM,1,Shrub,Perennial
LAW012,2025,30,SATR12,1,Herb,Annual
LAW012,2025,30,SAVE4,9,Shrub,Perennial
LAW012,2025,31,ATCO,4,Shrub,Perennial
LAW012,2025,31,PSARM,3,Shrub,Perennial
LAW012,2025,31,SATR12,5,Herb,Annual
LAW012,2025,32,ATCO,3,Shrub,Perennial
LAW012,2025,32,SATR12,5,Herb,Annual
LAW012,2025,33,ATCO,8,Shrub,Perennial
LAW012,2025,33,PSPO,2,Shrub,Perennial
LAW012,2025,33,SATR12,4,Herb,Annual
LAW012,2025,34,ATCO,4,Shrub,Perennial
LAW012,2025,34,LEFR2,1,Shrub,Perennial
LAW012,2025,34,PSARM,13,Shrub,Perennial
LAW012,2025,35,ATCO,2,Shrub,Perennial
LAW012,2025,35,PSARM,12,Shrub,Perennial
LAW012,2025,36,ATCO,1,Shrub,Perennial
LAW012,2025,36,LEFR2,1,Shrub,Perennial
LAW012,2025,36,PSARM,5,Shrub,Perennial
LAW012,2025,36,SATR12,1,Herb,Annual
LAW012,2025,37,ATCO,1,Shrub,Perennial
LAW012,2025,37,KRLA2,1,Shrub,Perennial
LAW012,2025,37,LYAN,2,Shrub,Perennial
LAW012,2025,37,PSARM,3,Shrub,Perennial
LAW012,2025,38,ATCO,3,Shrub,Perennial
LAW012,2025,38,KRLA2,2,Shrub,Perennial
LAW012,2025,38,LYAN,2,Shrub,Perennial
LAW012,2025,38,PSARM,9,Shrub,Perennial
LAW012,2025,39,ATCO,1,Shrub,Perennial
LAW012,2025,39,PSARM,9,Shrub,Perennial
LAW012,2025,39,PSARM,9,Shrub,Perennial
LAW012,2025,39,SATR12,1,Herb,Annual
LAW012,2025,4,KRLA2,1,Shrub,Perennial
LAW012,2025,4,PSARM,4,Shrub,Perennial
LAW012,2025,4,SATR12,4,Herb,Annual
LAW012,2025,40,ATCO,3,Shrub,Perennial
LAW012,2025,40,LYAN,2,Shrub,Perennial
LAW012,2025,40,PSARM,5,Shrub,Perennial
LAW012,2025,40,SATR12,1,Herb,Annual
LAW012,2025,5,ATCO,3,Shrub,Perennial
LAW012,2025,5,LYAN,9,Shrub,Perennial
LAW012,2025,6,ATCO,2,Shrub,Perennial
LAW012,2025,6,PSARM,1,Shrub,Perennial
LAW012,2025,6,SATR12,2,Herb,Annual
LAW012,2025,7,ATCO,4,Shrub,Perennial
LAW012,2025,7,PSARM,4,Shrub,Perennial
LAW012,2025,7,SATR12,1,Herb,Annual
LAW012,2025,8,LYAN,2,Shrub,Perennial
LAW012,2025,8,PSARM,14,Shrub,Perennial
LAW012,2025,9,ATCO,1,Shrub,Perennial
LAW012,2025,9,PSARM,5,Shrub,Perennial
LAW024,2024,1,ATCA2,7,Shrub,Perennial
LAW024,2024,1,SAVE4,11,Shrub,Perennial
LAW024,2024,10,ERNA10,7,Shrub,Perennial
LAW024,2024,10,SAVE4,6,Shrub,Perennial
LAW024,2024,2,ATCO,9,Shrub,Perennial
LAW024,2024,3b,ATCO,2,Shrub,Perennial
LAW024,2024,3b,PSARM,4,Shrub,Perennial
LAW024,2024,3b,SATR12,1,Herb,Annual
LAW024,2024,3b,SAVE4,7,Shrub,Perennial
LAW024,2024,4,ATCO,5,Shrub,Perennial
LAW024,2024,4,PSARM,4,Shrub,Perennial
LAW024,2024,4,SATR12,1,Herb,Annual
LAW024,2024,4,SAVE4,18,Shrub,Perennial
LAW024,2024,5,ATCO,1,Shrub,Perennial
LAW024,2024,5,PSARM,1,Shrub,Perennial
LAW024,2024,5,SAVE4,18,Shrub,Perennial
LAW024,2024,6c,ATCO,7,Shrub,Perennial
LAW024,2024,6c,PSARM,3,Shrub,Perennial
LAW024,2024,7,ATCO,3,Shrub,Perennial
LAW024,2024,7,ERNA10,3,Shrub,Perennial
LAW024,2024,7,PSARM,4,Shrub,Perennial
LAW024,2024,7,SAVE4,3,Shrub,Perennial
LAW024,2024,8c,ATCA2,1,Shrub,Perennial
LAW024,2024,8c,ATCO,2,Shrub,Perennial
LAW024,2024,8c,PSARM,1,Shrub,Perennial
LAW024,2024,8c,PSPO,5,Shrub,Perennial
LAW024,2024,8c,SAVE4,4,Shrub,Perennial
LAW024,2024,9b,ATCO,2,Shrub,Perennial
LAW024,2024,9b,KRLA2,2,Shrub,Perennial
LAW024,2024,9b,PSARM,4,Shrub,Perennial
LAW024,2024,9b,SATR12,1,Herb,Annual
LAW024,2025,1,ATCO,2,Shrub,Perennial
LAW024,2025,1,KRLA2,2,Shrub,Perennial
LAW024,2025,1,PSARM,4,Shrub,Perennial
LAW024,2025,1,SAVE4,9,Shrub,Perennial
LAW024,2025,10,LYAN,14,Shrub,Perennial
LAW024,2025,10,PSARM,2,Shrub,Perennial
LAW024,2025,2,LYAN,17,Shrub,Perennial
LAW024,2025,3,ATCO,11,Shrub,Perennial
LAW024,2025,3,SATR12,3,Herb,Annual
LAW024,2025,4,ATCO,2,Shrub,Perennial
LAW024,2025,4,LYAN,18,Shrub,Perennial
LAW024,2025,5,LYAN,5,Shrub,Perennial
LAW024,2025,5,PSARM,3,Shrub,Perennial
LAW024,2025,6,LYAN,15,Shrub,Perennial
LAW024,2025,7,ATCO,3,Shrub,Perennial
LAW024,2025,7,PSARM,4,Shrub,Perennial
LAW024,2025,7,SATR12,1,Herb,Annual
LAW024,2025,7,SAVE4,14,Shrub,Perennial
LAW024,2025,8,ATCO,6,Shrub,Perennial
LAW024,2025,8,ERNA10,1,Shrub,Perennial
LAW024,2025,8,LYAN,2,Shrub,Perennial
LAW024,2025,8,PSARM,3,Shrub,Perennial
LAW024,2025,8,SAVE4,12,Shrub,Perennial
LAW024,2025,8,TEGL,2,Shrub,Perennial
LAW024,2025,9,ATCA2,1,Shrub,Perennial
LAW024,2025,9,ATCO,1,Shrub,Perennial
LAW024,2025,9,ERNA10,9,Shrub,Perennial
LAW024,2025,9,PSARM,1,Shrub,Perennial
LAW028,2022,12,PSARM,1,Shrub,Perennial
LAW028,2022,12,SATR12,1,Herb,Annual
LAW028,2022,14,ATCO,1,Shrub,Perennial
LAW028,2022,14,PSARM,8,Shrub,Perennial
LAW028,2022,18,ATCO,2,Shrub,Perennial
LAW028,2022,18,ATTO,6,Shrub,Perennial
LAW028,2022,18,ERIOG,1,Herb_Shrub,Annual/Perennial
LAW028,2022,18,SATR12,1,Herb,Annual
LAW028,2022,3,ATCO,5,Shrub,Perennial
LAW028,2022,3,ERNA10,1,Shrub,Perennial
LAW028,2022,3,SAVE4,5,Shrub,Perennial
LAW028,2022,4,ATCO,3,Shrub,Perennial
LAW028,2022,4,SATR12,2,Herb,Annual
LAW028,2022,73,ATCO,5,Shrub,Perennial
LAW028,2022,73,PSARM,11,Shrub,Perennial
LAW028,2022,73,SATR12,1,Herb,Annual
LAW028,2022,8,PSARM,1,Shrub,Perennial
LAW028,2022,8,SATR12,1,Herb,Annual
LAW028,2024,1,ATCO,1,Shrub,Perennial
LAW028,2024,1,PSARM,11,Shrub,Perennial
LAW028,2024,10,ATCO,6,Shrub,Perennial
LAW028,2024,10,PSARM,4,Shrub,Perennial
LAW028,2024,11,ATCO,1,Shrub,Perennial
LAW028,2024,11,LEFR2,5,Shrub,Perennial
LAW028,2024,11,LYAN,1,Shrub,Perennial
LAW028,2024,11,PSARM,21,Shrub,Perennial
LAW028,2024,12,ATCO,3,Shrub,Perennial
LAW028,2024,12,PSARM,6,Shrub,Perennial
LAW028,2024,12,SATR12,1,Herb,Annual
LAW028,2024,13,ATCO,4,Shrub,Perennial
LAW028,2024,13,LYAN,2,Shrub,Perennial
LAW028,2024,13,PSARM,7,Shrub,Perennial
LAW028,2024,14,ATCO,18,Shrub,Perennial
LAW028,2024,14,SAVE4,1,Shrub,Perennial
LAW028,2024,15,KRLA2,7,Shrub,Perennial
LAW028,2024,15,LYAN,3,Shrub,Perennial
LAW028,2024,15,PSARM,4,Shrub,Perennial
LAW028,2024,16,ATCA2,2,Shrub,Perennial
LAW028,2024,16,KRLA2,3,Shrub,Perennial
LAW028,2024,16,PSPO,5,Shrub,Perennial
LAW028,2024,16,SATR12,3,Herb,Annual
LAW028,2024,17,ATCA2,1,Shrub,Perennial
LAW028,2024,17,ATCO,6,Shrub,Perennial
LAW028,2024,17,KRLA2,1,Shrub,Perennial
LAW028,2024,17,PSARM,8,Shrub,Perennial
LAW028,2024,17,SATR12,3,Herb,Annual
LAW028,2024,18,ATCO,3,Shrub,Perennial
LAW028,2024,18,EPNE,1,Shrub,Perennial
LAW028,2024,18,LYAN,4,Shrub,Perennial
LAW028,2024,18,PSARM,4,Shrub,Perennial
LAW028,2024,18,SATR12,1,Herb,Annual
LAW028,2024,18,TEAX,1,Shrub,Perennial
LAW028,2024,19,ATCO,6,Shrub,Perennial
LAW028,2024,19,LYAN,1,Shrub,Perennial
LAW028,2024,19,PSARM,9,Shrub,Perennial
LAW028,2024,2,ATCO,3,Shrub,Perennial
LAW028,2024,2,KRLA2,4,Shrub,Perennial
LAW028,2024,2,LYAN,6,Shrub,Perennial
LAW028,2024,2,PSARM,6,Shrub,Perennial
LAW028,2024,20,ATCO,1,Shrub,Perennial
LAW028,2024,20,ERIN4,1,Herb,Annual/Perennial
LAW028,2024,20,PSARM,7,Shrub,Perennial
LAW028,2024,3,ATCO,2,Shrub,Perennial
LAW028,2024,3,KRLA2,2,Shrub,Perennial
LAW028,2024,3,LEFR2,2,Shrub,Perennial
LAW028,2024,3,PSARM,9,Shrub,Perennial
LAW028,2024,4,ATCO,7,Shrub,Perennial
LAW028,2024,4,PSARM,5,Shrub,Perennial
LAW028,2024,4,SATR12,1,Herb,Annual
LAW028,2024,5,ATCO,4,Shrub,Perennial
LAW028,2024,5,KRLA2,1,Shrub,Perennial
LAW028,2024,5,LYAN,1,Shrub,Perennial
LAW028,2024,5,PSARM,3,Shrub,Perennial
LAW028,2024,5,PSPO,5,Shrub,Perennial
LAW028,2024,5,SATR12,2,Herb,Annual
LAW028,2024,6,ATCO,4,Shrub,Perennial
LAW028,2024,6,PSARM,4,Shrub,Perennial
LAW028,2024,6,SATR12,2,Herb,Annual
LAW028,2024,7b,ATCO,4,Shrub,Perennial
LAW028,2024,7b,LEFR2,1,Shrub,Perennial
LAW028,2024,7b,PSARM,10,Shrub,Perennial
LAW028,2024,8b,ATCO,2,Shrub,Perennial
LAW028,2024,8b,LYAN,2,Shrub,Perennial
LAW028,2024,8b,PSARM,11,Shrub,Perennial
LAW028,2024,8b,SATR12,1,Herb,Annual
LAW028,2024,9,PSARM,1,Shrub,Perennial
LAW028,2024,9,STPA4,1,Herb_Shrub,Perennial
LAW028,2025,1,ATCO,4,Shrub,Perennial
LAW028,2025,1,PSARM,7,Shrub,Perennial
LAW028,2025,10,ATCO,5,Shrub,Perennial
LAW028,2025,10,KRLA2,3,Shrub,Perennial
LAW028,2025,10,PSARM,8,Shrub,Perennial
LAW028,2025,11,ATCO,3,Shrub,Perennial
LAW028,2025,11,LYAN,2,Shrub,Perennial
LAW028,2025,11,PSARM,4,Shrub,Perennial
LAW028,2025,12,ATCO,1,Shrub,Perennial
LAW028,2025,12,KRLA2,1,Shrub,Perennial
LAW028,2025,12,LYAN,3,Shrub,Perennial
LAW028,2025,12,PSARM,11,Shrub,Perennial
LAW028,2025,13,ATCO,1,Shrub,Perennial
LAW028,2025,13,KRLA2,4,Shrub,Perennial
LAW028,2025,13,LYAN,3,Shrub,Perennial
LAW028,2025,13,PSARM,7,Shrub,Perennial
LAW028,2025,14,ATCO,3,Shrub,Perennial
LAW028,2025,14,KRLA2,1,Shrub,Perennial
LAW028,2025,14,LYAN,2,Shrub,Perennial
LAW028,2025,14,PSARM,13,Shrub,Perennial
LAW028,2025,15,ATCO,2,Shrub,Perennial
LAW028,2025,15,SATR12,5,Herb,Annual
LAW028,2025,16,ATCO,1,Shrub,Perennial
LAW028,2025,16,PSARM,8,Shrub,Perennial
LAW028,2025,16,SATR12,2,Herb,Annual
LAW028,2025,17,ATCO,11,Shrub,Perennial
LAW028,2025,17,SATR12,3,Herb,Annual
LAW028,2025,18,ACHY,1,Grass,Perennial
LAW028,2025,18,ATCO,1,Shrub,Perennial
LAW028,2025,18,KRLA2,4,Shrub,Perennial
LAW028,2025,18,PSPO,5,Shrub,Perennial
LAW028,2025,18,SATR12,1,Herb,Annual
LAW028,2025,19,ATCO,3,Shrub,Perennial
LAW028,2025,19,PSARM,4,Shrub,Perennial
LAW028,2025,19,SATR12,2,Herb,Annual
LAW028,2025,2,ATCO,1,Shrub,Perennial
LAW028,2025,2,EPVI,3,Shrub,Perennial
LAW028,2025,2,PSARM,6,Shrub,Perennial
LAW028,2025,2,SATR12,1,Herb,Annual
LAW028,2025,2,TEAX,1,Shrub,Perennial
LAW028,2025,20,ATCO,4,Shrub,Perennial
LAW028,2025,20,KRLA2,2,Shrub,Perennial
LAW028,2025,20,PSARM,9,Shrub,Perennial
LAW028,2025,3,ATCO,1,Shrub,Perennial
LAW028,2025,3,PSARM,12,Shrub,Perennial
LAW028,2025,3,SATR12,3,Herb,Annual
LAW028,2025,4,ATCO,7,Shrub,Perennial
LAW028,2025,4,PSARM,11,Shrub,Perennial
LAW028,2025,5,ATCO,3,Shrub,Perennial
LAW028,2025,5,LYAN,1,Shrub,Perennial
LAW028,2025,5,PSARM,1,Shrub,Perennial
LAW028,2025,6,ATCO,4,Shrub,Perennial
LAW028,2025,6,LEFR2,1,Shrub,Perennial
LAW028,2025,6,PSARM,10,Shrub,Perennial
LAW028,2025,6,SATR12,1,Herb,Annual
LAW028,2025,7,ATCO,1,Shrub,Perennial
LAW028,2025,7,PSARM,4,Shrub,Perennial
LAW028,2025,7,SATR12,3,Herb,Annual
LAW028,2025,8,ATCO,2,Shrub,Perennial
LAW028,2025,8,LEFR2,2,Shrub,Perennial
LAW028,2025,8,PSARM,8,Shrub,Perennial
LAW028,2025,8,SATR12,1,Herb,Annual
LAW028,2025,9,ATCO,2,Shrub,Perennial
LAW028,2025,9,PSARM,3,Shrub,Perennial
LAW028,2025,9,PSPO,1,Shrub,Perennial
LAW029,2022,1,ATTO,3,Shrub,Perennial
LAW029,2022,1,DISP,12,Grass,Perennial
LAW029,2022,1,ERNA10,7,Shrub,Perennial
LAW029,2022,10,ATTO,10,Shrub,Perennial
LAW029,2022,10,DISP,16,Grass,Perennial
LAW029,2022,11,ATTO,15,Shrub,Perennial
LAW029,2022,13,ATCO,6,Shrub,Perennial
LAW029,2022,13,SATR12,1,Herb,Annual
LAW029,2022,14,ATTO,10,Shrub,Perennial
LAW029,2022,14,ERNA10,6,Shrub,Perennial
LAW029,2022,15,ATCO,1,Shrub,Perennial
LAW029,2022,15,SAVE4,10,Shrub,Perennial
LAW029,2022,16,ATCO,5,Shrub,Perennial
LAW029,2022,16,ATTO,6,Shrub,Perennial
LAW029,2022,16,ERNA10,3,Shrub,Perennial
LAW029,2022,17,SAVE4,1,Shrub,Perennial
LAW029,2022,17,SUMO,2,Shrub,Perennial
LAW029,2022,18,SAVE4,3,Shrub,Perennial
LAW029,2022,19,ATCA2,3,Shrub,Perennial
LAW029,2022,19,ATCO,2,Shrub,Perennial
LAW029,2022,19,SATR12,2,Herb,Annual
LAW029,2022,19,SAVE4,5,Shrub,Perennial
LAW029,2022,2,ATCO,2,Shrub,Perennial
LAW029,2022,2,ATTO,7,Shrub,Perennial
LAW029,2022,2,SAVE4,10,Shrub,Perennial
LAW029,2022,21,ATCO,4,Shrub,Perennial
LAW029,2022,21,ATTO,3,Shrub,Perennial
LAW029,2022,21,SATR12,1,Herb,Annual
LAW029,2022,22,ALOC2,3,Shrub,Perennial
LAW029,2022,22,ATTO,11,Shrub,Perennial
LAW029,2022,22,DISP,1,Grass,Perennial
LAW029,2022,22,ERNA10,3,Shrub,Perennial
LAW029,2022,23,ATCO,8,Shrub,Perennial
LAW029,2022,23,SATR12,1,Herb,Annual
LAW029,2022,24,ATCO,6,Shrub,Perennial
LAW029,2022,24,SAVE4,2,Shrub,Perennial
LAW029,2022,25,ATCO,5,Shrub,Perennial
LAW029,2022,25,SATR12,1,Herb,Annual
LAW029,2022,25,SAVE4,1,Shrub,Perennial
LAW029,2022,5,ATCA2,1,Shrub,Perennial
LAW029,2022,5,ATCO,3,Shrub,Perennial
LAW029,2022,5,SAVE4,4,Shrub,Perennial
LAW029,2022,6,SAVE4,12,Shrub,Perennial
LAW029,2022,6,SUMO,3,Shrub,Perennial
LAW029,2022,7,ATCO,4,Shrub,Perennial
LAW029,2022,7,ATTO,2,Shrub,Perennial
LAW029,2022,7,SAVE4,4,Shrub,Perennial
LAW029,2022,7,SUMO,3,Shrub,Perennial
LAW029,2022,9,ATTO,5,Shrub,Perennial
LAW029,2022,9,SAVE4,3,Shrub,Perennial
LAW029,2022,9,SUMO,1,Shrub,Perennial
LAW029,2023,1,ATTO,5,Shrub,Perennial
LAW029,2023,1,DISP,22,Grass,Perennial
LAW029,2023,1,SAVE4,1,Shrub,Perennial
LAW029,2023,10,ATTO,10,Shrub,Perennial
LAW029,2023,10,ERNA10,4,Shrub,Perennial
LAW029,2023,10,SATR12,8,Herb,Annual
LAW029,2023,10,SAVE4,3,Shrub,Perennial
LAW029,2023,11,ATTO,28,Shrub,Perennial
LAW029,2023,11,BAHY,4,Herb,Annual
LAW029,2023,11,ERNA10,6,Shrub,Perennial
LAW029,2023,11,SATR12,1,Herb,Annual
LAW029,2023,12,ATTO,17,Shrub,Perennial
LAW029,2023,12,HAGL,1,Herb,Annual
LAW029,2023,12,SATR12,1,Herb,Annual
LAW029,2023,13,ATCO,6,Shrub,Perennial
LAW029,2023,13,ATTO,4,Shrub,Perennial
LAW029,2023,13,SAVE4,8,Shrub,Perennial
LAW029,2023,14,ATTO,13,Shrub,Perennial
LAW029,2023,14,DISP,5,Grass,Perennial
LAW029,2023,14,ERNA10,7,Shrub,Perennial
LAW029,2023,15,ASFA,2,Herb,Perennial
LAW029,2023,15,CAREX,2,Grass,Perennial
LAW029,2023,15,COCA5,2,Herb,Annual
LAW029,2023,15,DISP,1,Grass,Perennial
LAW029,2023,15,ERNA10,2,Shrub,Perennial
LAW029,2023,15,JUARL,24,Grass,Perennial
LAW029,2023,15,LELA2,1,Herb,Perennial
LAW029,2023,15,LETR5,3,Grass,Perennial
LAW029,2023,15,LOTUS,1,Herb,Perennial
LAW029,2023,15,MEOF,43,Herb,Annual/Biennial
LAW029,2023,15,MUAS,2,Grass,Perennial
LAW029,2023,15,TYLA,2,Grass,Perennial
LAW029,2023,16,ERNA10,1,Shrub,Perennial
LAW029,2023,16,SATR12,4,Herb,Annual
LAW029,2023,16,SAVE4,1,Shrub,Perennial
LAW029,2023,17,ATCO,14,Shrub,Perennial
LAW029,2023,18,ATCO,13,Shrub,Perennial
LAW029,2023,18,ATPO,1,Shrub,Perennial
LAW029,2023,18,PSARM,1,Shrub,Perennial
LAW029,2023,19,ATTO,1,Shrub,Perennial
LAW029,2023,19,SATR12,18,Herb,Annual
LAW029,2023,2,ATCO,2,Shrub,Perennial
LAW029,2023,2,ATTO,11,Shrub,Perennial
LAW029,2023,2,SATR12,10,Herb,Annual
LAW029,2023,2,SAVE4,5,Shrub,Perennial
