parcel,transect,species,hits,year,CommonName,Lifecycle,Lifeform,percent_cover
LAW117,6,SATR12,1,2022,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW117,39,ATCO,3,2022,Shadscale,Perennial,Shrub,3
LAW117,39,PSARM,4,2022,"indigo bush, Northern Mojave",Perennial,Shrub,4
LAW117,46,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW117,46,PSARM,2,2022,"indigo bush, Northern Mojave",Perennial,Shrub,2
LAW117,10,PSARM,3,2022,"indigo bush, Northern Mojave",Perennial,Shrub,3
LAW117,10,ATCO,4,2022,Shadscale,Perennial,Shrub,4
LAW117,10,SATR12,1,2022,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW117,50,PSARM,6,2022,"indigo bush, Northern Mojave",Perennial,Shrub,6
LAW117,50,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW117,23,PSARM,8,2022,"indigo bush, Northern Mojave",Perennial,Shrub,8
LAW117,23,ATCO,4,2022,Shadscale,Perennial,Shrub,4
LAW117,8,PSARM,10,2022,"indigo bush, Northern Mojave",Perennial,Shrub,10
LAW117,8,ATCO,3,2022,Shadscale,Perennial,Shrub,3
LAW117,20,PSARM,3,2022,"indigo bush, Northern Mojave",Perennial,Shrub,3
LAW117,20,ATCO,13,2022,Shadscale,Perennial,Shrub,13
LAW117,11,PSARM,6,2022,"indigo bush, Northern Mojave",Perennial,Shrub,6
LAW117,14,PSARM,9,2022,"indigo bush, Northern Mojave",Perennial,Shrub,9
LAW117,14,KRLA2,3,2022,Winterfat,Perennial,Shrub,3
LAW117,7,PSARM,6,2022,"indigo bush, Northern Mojave",Perennial,Shrub,6
LAW117,7,KRLA2,2,2022,Winterfat,Perennial,Shrub,2
LAW117,7,ATCO,3,2022,Shadscale,Perennial,Shrub,3
LAW117,4,PSARM,9,2022,"indigo bush, Northern Mojave",Perennial,Shrub,9
LAW117,4,KRLA2,3,2022,Winterfat,Perennial,Shrub,3
LAW117,4,ATCO,2,2022,Shadscale,Perennial,Shrub,2
LAW117,28,PSARM,2,2022,"indigo bush, Northern Mojave",Perennial,Shrub,2
LAW117,28,ATCO,8,2022,Shadscale,Perennial,Shrub,8
LAW117,28,SATR12,1,2022,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW093,6,PSARM,4,2022,"indigo bush, Northern Mojave",Perennial,Shrub,4
LAW093,6,KRLA2,6,2022,Winterfat,Perennial,Shrub,6
LAW093,6,TEAX,1,2022,"cotton-thorn, straight-spined",Perennial,Shrub,1
LAW093,6,ATCA2,2,2022,"saltbush, Fourwing",Perennial,Shrub,2
LAW093,7,PSARM,6,2022,"indigo bush, Northern Mojave",Perennial,Shrub,6
LAW093,7,KRLA2,2,2022,Winterfat,Perennial,Shrub,2
LAW093,7,TEAX,3,2022,"cotton-thorn, straight-spined",Perennial,Shrub,3
LAW093,11,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW093,11,KRLA2,2,2022,Winterfat,Perennial,Shrub,2
LAW093,11,PSPO,1,2022,"dalea, Dotted",Perennial,Shrub,1
LAW093,3,PSARM,7,2022,"indigo bush, Northern Mojave",Perennial,Shrub,7
LAW093,3,KRLA2,1,2022,Winterfat,Perennial,Shrub,1
LAW093,3,TEAX,2,2022,"cotton-thorn, straight-spined",Perennial,Shrub,2
LAW093,3,ATCA2,1,2022,"saltbush, Fourwing",Perennial,Shrub,1
LAW093,3,PSPO,3,2022,"dalea, Dotted",Perennial,Shrub,3
LAW093,13,PSARM,14,2022,"indigo bush, Northern Mojave",Perennial,Shrub,14
LAW093,13,ATCA2,1,2022,"saltbush, Fourwing",Perennial,Shrub,1
LAW093,13,PSPO,13,2022,"dalea, Dotted",Perennial,Shrub,13
LAW093,13,SATR12,1,2022,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW091,1,LYAN,7,2022,"tomato, Desert /wolfberry, Anderson's",Perennial,Shrub,7
LAW091,1,PSARM,8,2022,"indigo bush, Northern Mojave",Perennial,Shrub,8
LAW091,1,KRLA2,1,2022,Winterfat,Perennial,Shrub,1
LAW091,1,TEAX,2,2022,"cotton-thorn, straight-spined",Perennial,Shrub,2
LAW093,5,PSARM,11,2022,"indigo bush, Northern Mojave",Perennial,Shrub,11
LAW093,5,KRLA2,1,2022,Winterfat,Perennial,Shrub,1
LAW093,5,EPNE,5,2022,"ephedra, Nevada",Perennial,Shrub,5
LAW093,14,KRLA2,4,2022,Winterfat,Perennial,Shrub,4
LAW093,14,PSPO,9,2022,"dalea, Dotted",Perennial,Shrub,9
LAW093,14,SATR12,3,2022,"Tumbleweed /thistle, Russian",Annual,Herb,3
LAW093,15,PSARM,2,2022,"indigo bush, Northern Mojave",Perennial,Shrub,2
LAW093,15,KRLA2,3,2022,Winterfat,Perennial,Shrub,3
LAW093,15,SATR12,1,2022,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW093,15,ATCO,2,2022,Shadscale,Perennial,Shrub,2
LAW093,15,ERNA10,1,2022,"rabbitbrush, Common",Perennial,Shrub,1
LAW093,15,ATCA2,1,2022,"saltbush, Fourwing",Perennial,Shrub,1
LAW093,10,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW093,10,KRLA2,2,2022,Winterfat,Perennial,Shrub,2
LAW093,10,TEAX,5,2022,"cotton-thorn, straight-spined",Perennial,Shrub,5
LAW093,9,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW093,9,TEAX,4,2022,"cotton-thorn, straight-spined",Perennial,Shrub,4
LAW093,9,KRLA2,3,2022,Winterfat,Perennial,Shrub,3
LAW093,8,PSARM,2,2022,"indigo bush, Northern Mojave",Perennial,Shrub,2
LAW093,8,SATR12,4,2022,"Tumbleweed /thistle, Russian",Annual,Herb,4
LAW093,2,PSARM,3,2022,"indigo bush, Northern Mojave",Perennial,Shrub,3
LAW093,2,TEAX,1,2022,"cotton-thorn, straight-spined",Perennial,Shrub,1
LAW093,2,PSPO,6,2022,"dalea, Dotted",Perennial,Shrub,6
LAW093,2,EPNE,4,2022,"ephedra, Nevada",Perennial,Shrub,4
LAW093,4,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW093,4,TEAX,6,2022,"cotton-thorn, straight-spined",Perennial,Shrub,6
LAW093,4,KRLA2,3,2022,Winterfat,Perennial,Shrub,3
LAW093,4,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW093,12,PSARM,4,2022,"indigo bush, Northern Mojave",Perennial,Shrub,4
LAW093,12,TEAX,2,2022,"cotton-thorn, straight-spined",Perennial,Shrub,2
LAW093,12,KRLA2,4,2022,Winterfat,Perennial,Shrub,4
LAW049,8,SATR12,4,2022,"Tumbleweed /thistle, Russian",Annual,Herb,4
LAW049,8,ATCO,2,2022,Shadscale,Perennial,Shrub,2
LAW049,31,SATR12,1,2022,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW049,31,ATCO,5,2022,Shadscale,Perennial,Shrub,5
LAW049,26,SATR12,12,2022,"Tumbleweed /thistle, Russian",Annual,Herb,12
LAW049,37,SATR12,25,2022,"Tumbleweed /thistle, Russian",Annual,Herb,25
LAW049,39,SAVE4,47,2022,Greasewood,Perennial,Shrub,47
LAW049,27,SAVE4,14,2022,Greasewood,Perennial,Shrub,14
LAW049,27,ATCO,10,2022,Shadscale,Perennial,Shrub,10
LAW049,28,ATCO,4,2022,Shadscale,Perennial,Shrub,4
LAW049,28,SATR12,3,2022,"Tumbleweed /thistle, Russian",Annual,Herb,3
LAW049,66,ATCO,3,2022,Shadscale,Perennial,Shrub,3
LAW049,66,SATR12,7,2022,"Tumbleweed /thistle, Russian",Annual,Herb,7
LAW049,63,SAVE4,11,2022,Greasewood,Perennial,Shrub,11
LAW049,63,ATCO,4,2022,Shadscale,Perennial,Shrub,4
LAW049,63,SATR12,3,2022,"Tumbleweed /thistle, Russian",Annual,Herb,3
LAW049,47,SATR12,12,2022,"Tumbleweed /thistle, Russian",Annual,Herb,12
LAW049,35,SATR12,3,2022,"Tumbleweed /thistle, Russian",Annual,Herb,3
LAW049,35,ATCO,9,2022,Shadscale,Perennial,Shrub,9
LAW049,67,SATR12,5,2022,"Tumbleweed /thistle, Russian",Annual,Herb,5
LAW049,67,ATCO,5,2022,Shadscale,Perennial,Shrub,5
LAW049,67,SAVE4,4,2022,Greasewood,Perennial,Shrub,4
LAW049,67,ATCA2,1,2022,"saltbush, Fourwing",Perennial,Shrub,1
LAW049,33,SATR12,7,2022,"Tumbleweed /thistle, Russian",Annual,Herb,7
LAW049,33,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW049,36,SATR12,11,2022,"Tumbleweed /thistle, Russian",Annual,Herb,11
LAW049,36,ATCO,4,2022,Shadscale,Perennial,Shrub,4
LAW049,17,ATCO,8,2022,Shadscale,Perennial,Shrub,8
LAW049,17,SATR12,4,2022,"Tumbleweed /thistle, Russian",Annual,Herb,4
LAW049,17,SAVE4,14,2022,Greasewood,Perennial,Shrub,14
LAW049,55,ATCO,4,2022,Shadscale,Perennial,Shrub,4
LAW049,55,SAVE4,32,2022,Greasewood,Perennial,Shrub,32
LAW048,51,SAVE4,30,2022,Greasewood,Perennial,Shrub,30
LAW048,51,ERNA10,2,2022,"rabbitbrush, Common",Perennial,Shrub,2
LAW048,61,SAVE4,30,2022,Greasewood,Perennial,Shrub,30
LAW048,61,ATCA2,3,2022,"saltbush, Fourwing",Perennial,Shrub,3
LAW049,49,ATCO,2,2022,Shadscale,Perennial,Shrub,2
LAW049,49,SAVE4,22,2022,Greasewood,Perennial,Shrub,22
LAW049,49,ATCA2,1,2022,"saltbush, Fourwing",Perennial,Shrub,1
LAW049,49,ATTO,4,2022,"saltbush, Nevada/Torrey's",Perennial,Shrub,4
LAW049,56,SAVE4,47,2022,Greasewood,Perennial,Shrub,47
LAW049,56,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW048,48,SAVE4,36,2022,Greasewood,Perennial,Shrub,36
LAW048,48,ATCO,2,2022,Shadscale,Perennial,Shrub,2
LAW048,48,ATTO,8,2022,"saltbush, Nevada/Torrey's",Perennial,Shrub,8
LAW049,53,SAVE4,65,2022,Greasewood,Perennial,Shrub,65
LAW048,64,SAVE4,27,2022,Greasewood,Perennial,Shrub,27
LAW048,64,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW048,64,ATTO,8,2022,"saltbush, Nevada/Torrey's",Perennial,Shrub,8
LAW049,34,SAVE4,24,2022,Greasewood,Perennial,Shrub,24
LAW049,34,ATCO,4,2022,Shadscale,Perennial,Shrub,4
LAW049,34,ERNA10,2,2022,"rabbitbrush, Common",Perennial,Shrub,2
LAW048,15,SAVE4,5,2022,Greasewood,Perennial,Shrub,5
LAW048,15,ERNA10,3,2022,"rabbitbrush, Common",Perennial,Shrub,3
LAW048,15,ATCO,5,2022,Shadscale,Perennial,Shrub,5
LAW048,15,ARTR2,2,2022,"sagebrush, Big",Perennial,Shrub,2
LAW048,15,ATTO,1,2022,"saltbush, Nevada/Torrey's",Perennial,Shrub,1
LAW048,23,SAVE4,7,2022,Greasewood,Perennial,Shrub,7
LAW048,23,ATCO,5,2022,Shadscale,Perennial,Shrub,5
LAW049,16,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW049,16,PSARM,2,2022,"indigo bush, Northern Mojave",Perennial,Shrub,2
LAW049,7,ATCO,3,2022,Shadscale,Perennial,Shrub,3
LAW049,7,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW049,7,SATR12,2,2022,"Tumbleweed /thistle, Russian",Annual,Herb,2
LAW049,2,ATCO,2,2022,Shadscale,Perennial,Shrub,2
LAW049,2,PSARM,2,2022,"indigo bush, Northern Mojave",Perennial,Shrub,2
LAW049,2,ERIOG,1,2022,Buckwheat,Annual/Perennial,Herb_Shrub,1
LAW049,29,ATCO,4,2022,Shadscale,Perennial,Shrub,4
LAW049,29,PSARM,3,2022,"indigo bush, Northern Mojave",Perennial,Shrub,3
LAW049,29,ERIOG,1,2022,Buckwheat,Annual/Perennial,Herb_Shrub,1
LAW049,29,SATR12,1,2022,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW049,4,ATCO,4,2022,Shadscale,Perennial,Shrub,4
LAW049,4,PSARM,4,2022,"indigo bush, Northern Mojave",Perennial,Shrub,4
LAW049,4,KRLA2,2,2022,Winterfat,Perennial,Shrub,2
LAW049,30,ATCO,3,2022,Shadscale,Perennial,Shrub,3
LAW049,30,PSARM,2,2022,"indigo bush, Northern Mojave",Perennial,Shrub,2
LAW049,30,SATR12,1,2022,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW049,3,ATCO,5,2022,Shadscale,Perennial,Shrub,5
LAW049,3,SAVE4,9,2022,Greasewood,Perennial,Shrub,9
LAW049,9,ATCO,4,2022,Shadscale,Perennial,Shrub,4
LAW049,9,SATR12,2,2022,"Tumbleweed /thistle, Russian",Annual,Herb,2
LAW049,9,SAVE4,3,2022,Greasewood,Perennial,Shrub,3
LAW028,18,ATTO,6,2022,"saltbush, Nevada/Torrey's",Perennial,Shrub,6
LAW028,18,ATCO,2,2022,Shadscale,Perennial,Shrub,2
LAW028,18,SATR12,1,2022,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW028,18,ERIOG,1,2022,Buckwheat,Annual/Perennial,Herb_Shrub,1
LAW028,73,ATCO,5,2022,Shadscale,Perennial,Shrub,5
LAW028,73,SATR12,1,2022,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW028,73,PSARM,11,2022,"indigo bush, Northern Mojave",Perennial,Shrub,11
LAW028,14,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW028,14,PSARM,8,2022,"indigo bush, Northern Mojave",Perennial,Shrub,8
LAW048,24,ATCO,5,2022,Shadscale,Perennial,Shrub,5
LAW048,24,SAVE4,24,2022,Greasewood,Perennial,Shrub,24
LAW049,1,SATR12,8,2022,"Tumbleweed /thistle, Russian",Annual,Herb,8
LAW049,1,PSARM,2,2022,"indigo bush, Northern Mojave",Perennial,Shrub,2
LAW049,13,ATCO,5,2022,Shadscale,Perennial,Shrub,5
LAW049,13,SATR12,3,2022,"Tumbleweed /thistle, Russian",Annual,Herb,3
LAW049,10,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW049,10,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW049,22,ATCO,4,2022,Shadscale,Perennial,Shrub,4
LAW049,22,SATR12,7,2022,"Tumbleweed /thistle, Russian",Annual,Herb,7
LAW049,21,ATCO,4,2022,Shadscale,Perennial,Shrub,4
LAW049,21,SATR12,6,2022,"Tumbleweed /thistle, Russian",Annual,Herb,6
LAW028,12,SATR12,1,2022,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW028,12,PSARM,1,2022,"indigo bush, Northern Mojave",Perennial,Shrub,1
LAW028,4,SATR12,2,2022,"Tumbleweed /thistle, Russian",Annual,Herb,2
LAW028,4,ATCO,3,2022,Shadscale,Perennial,Shrub,3
LAW028,3,ATCO,5,2022,Shadscale,Perennial,Shrub,5
LAW028,3,SAVE4,5,2022,Greasewood,Perennial,Shrub,5
LAW028,3,ERNA10,1,2022,"rabbitbrush, Common",Perennial,Shrub,1
LAW028,8,SATR12,1,2022,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW028,8,PSARM,1,2022,"indigo bush, Northern Mojave",Perennial,Shrub,1
LAW012,22,PSARM,7,2024,"indigo bush, Northern Mojave",Perennial,Shrub,7
LAW012,22,SATR12,1,2024,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW012,20b,PSARM,9,2024,"indigo bush, Northern Mojave",Perennial,Shrub,9
LAW012,20b,ATCO,1,2024,Shadscale,Perennial,Shrub,1
LAW012,4,PSARM,4,2024,"indigo bush, Northern Mojave",Perennial,Shrub,4
LAW012,4,SATR12,3,2024,"Tumbleweed /thistle, Russian",Annual,Herb,3
LAW012,4,ATCO,2,2024,Shadscale,Perennial,Shrub,2
LAW012,21,ATCO,12,2024,Shadscale,Perennial,Shrub,12
LAW012,6,PSARM,1,2024,"indigo bush, Northern Mojave",Perennial,Shrub,1
LAW012,6,ATCO,6,2024,Shadscale,Perennial,Shrub,6
LAW012,6,ERNA10,6,2024,"rabbitbrush, Common",Perennial,Shrub,6
LAW012,29,SATR12,7,2024,"Tumbleweed /thistle, Russian",Annual,Herb,7
LAW012,29,PSARM,2,2024,"indigo bush, Northern Mojave",Perennial,Shrub,2
LAW012,29,PSPO,6,2024,"dalea, Dotted",Perennial,Shrub,6
LAW012,27b,ATCO,1,2024,Shadscale,Perennial,Shrub,1
LAW012,27b,ERNA10,11,2024,"rabbitbrush, Common",Perennial,Shrub,11
LAW012,27b,SAVE4,8,2024,Greasewood,Perennial,Shrub,8
LAW012,7,SATR12,5,2024,"Tumbleweed /thistle, Russian",Annual,Herb,5
LAW012,7,PSARM,11,2024,"indigo bush, Northern Mojave",Perennial,Shrub,11
LAW012,7,ATCO,2,2024,Shadscale,Perennial,Shrub,2
LAW012,7,KRLA2,1,2024,Winterfat,Perennial,Shrub,1
LAW012,18,SATR12,4,2024,"Tumbleweed /thistle, Russian",Annual,Herb,4
LAW012,18,PSARM,5,2024,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW012,18,ATCO,3,2024,Shadscale,Perennial,Shrub,3
LAW012,18,LEFR2,1,2024,"alyssum, Desert",Perennial,Shrub,1
LAW012,15,PSARM,10,2024,"indigo bush, Northern Mojave",Perennial,Shrub,10
LAW012,15,ATCO,1,2024,Shadscale,Perennial,Shrub,1
LAW012,15,LEFR2,1,2024,"alyssum, Desert",Perennial,Shrub,1
LAW012,15,XYTOT,3,2024,NA,NA,NA,3
LAW012,15,LYAN,3,2024,"tomato, Desert /wolfberry, Anderson's",Perennial,Shrub,3
LAW012,12,ATCO,2,2024,Shadscale,Perennial,Shrub,2
LAW012,12,PSARM,7,2024,"indigo bush, Northern Mojave",Perennial,Shrub,7
LAW012,12,SATR12,3,2024,"Tumbleweed /thistle, Russian",Annual,Herb,3
LAW012,24,PSARM,8,2024,"indigo bush, Northern Mojave",Perennial,Shrub,8
LAW012,24,SATR12,1,2024,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW012,2,ATCO,4,2024,Shadscale,Perennial,Shrub,4
LAW012,2,PSARM,11,2024,"indigo bush, Northern Mojave",Perennial,Shrub,11
LAW012,2,SATR12,1,2024,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW012,26,ATCO,3,2024,Shadscale,Perennial,Shrub,3
LAW012,26,PSARM,5,2024,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW012,26,SATR12,2,2024,"Tumbleweed /thistle, Russian",Annual,Herb,2
LAW012,9,PSARM,19,2024,"indigo bush, Northern Mojave",Perennial,Shrub,19
LAW012,9,SATR12,3,2024,"Tumbleweed /thistle, Russian",Annual,Herb,3
LAW012,9,KRLA2,1,2024,Winterfat,Perennial,Shrub,1
LAW012,28,SATR12,2,2024,"Tumbleweed /thistle, Russian",Annual,Herb,2
LAW012,28,ATCO,1,2024,Shadscale,Perennial,Shrub,1
LAW012,28,PSARM,2,2024,"indigo bush, Northern Mojave",Perennial,Shrub,2
LAW012,3,SATR12,1,2024,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW012,3,ATCO,1,2024,Shadscale,Perennial,Shrub,1
LAW012,3,PSARM,3,2024,"indigo bush, Northern Mojave",Perennial,Shrub,3
LAW012,3,LEFR2,1,2024,"alyssum, Desert",Perennial,Shrub,1
LAW012,3,SAVE4,2,2024,Greasewood,Perennial,Shrub,2
LAW012,23,SATR12,1,2024,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW012,23,ATCO,2,2024,Shadscale,Perennial,Shrub,2
LAW012,23,PSARM,5,2024,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW012,10,SATR12,4,2024,"Tumbleweed /thistle, Russian",Annual,Herb,4
