parcel,quad,parcel_code,segment_key,species,hits,survey_year,source_file,length_m,n_possible_hits,intercept_spacing_m,denominator_source,percent_cover
IND131S,IND,131S,1.4-1.5,SATR12,2,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.44,199,0.5,gis_post_distance,1.0050251256281406
IND131S,IND,131S,1.5-1.6,SATR12,4,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.37,203,0.5,gis_post_distance,1.9704433497536946
IND131S,IND,131S,1.6-1.0,SATR12,3,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,85.41,171,0.5,gis_post_distance,1.7543859649122806
IND131S,IND,131S,2.1-2.2,SATR12,3,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,2.2-2.3,SATR12,4,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,2.3-2.4,SATR12,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.02,202,0.5,gis_post_distance,0
IND131S,IND,131S,2.4-2.5,SATR12,20,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.2,198,0.5,gis_post_distance,10.1010101010101
IND131S,IND,131S,2.5-2.6,SATR12,17,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.8,200,0.5,gis_post_distance,8.5
IND131S,IND,131S,2.6-2.7,SATR12,5,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.56,197,0.5,gis_post_distance,2.5380710659898478
IND131S,IND,131S,2.7-2.0,SATR12,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.99,204,0.5,gis_post_distance,0
IND131S,IND,131S,3.1-3.2,SATR12,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.17,200,0.5,gis_post_distance,0
IND131S,IND,131S,3.2-3.3,SATR12,10,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.98,202,0.5,gis_post_distance,4.9504950495049505
IND131S,IND,131S,3.3-3.4,SATR12,13,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.32,201,0.5,gis_post_distance,6.467661691542288
IND131S,IND,131S,3.4-3.5,SATR12,2,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.68,199,0.5,gis_post_distance,1.0050251256281406
IND131S,IND,131S,3.5-3.6,SATR12,1,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.12,196,0.5,gis_post_distance,0.5102040816326531
IND131S,IND,131S,3.6-3.7,SATR12,10,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.74,197,0.5,gis_post_distance,5.0761421319796955
IND131S,IND,131S,3.7-3.0,SATR12,1,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,4.1-4.2,SATR12,4,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,102.5,205,0.5,gis_post_distance,1.951219512195122
IND131S,IND,131S,4.2-4.0,SATR12,1,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,147,294,0.5,gis_post_distance,0.3401360544217687
IND131S,IND,131S,5.1-5.0,SATR12,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,82.86,166,0.5,gis_post_distance,0
IND131S,IND,131S,1.1-1.2,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.12,200,0.5,gis_post_distance,0
IND131S,IND,131S,1.2-1.3,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.33,203,0.5,gis_post_distance,0
IND131S,IND,131S,1.3-1.4,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.46,197,0.5,gis_post_distance,0
IND131S,IND,131S,1.4-1.5,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.44,199,0.5,gis_post_distance,0
IND131S,IND,131S,1.5-1.6,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.37,203,0.5,gis_post_distance,0
IND131S,IND,131S,1.6-1.0,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,85.41,171,0.5,gis_post_distance,0
IND131S,IND,131S,2.1-2.2,ATTO,1,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,2.2-2.3,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,2.3-2.4,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.02,202,0.5,gis_post_distance,0
IND131S,IND,131S,2.4-2.5,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.2,198,0.5,gis_post_distance,0
IND131S,IND,131S,2.5-2.6,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.8,200,0.5,gis_post_distance,0
IND131S,IND,131S,2.6-2.7,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.56,197,0.5,gis_post_distance,0
IND131S,IND,131S,2.7-2.0,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.99,204,0.5,gis_post_distance,0
IND131S,IND,131S,3.1-3.2,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.17,200,0.5,gis_post_distance,0
IND131S,IND,131S,3.2-3.3,ATTO,8,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.98,202,0.5,gis_post_distance,3.9603960396039604
IND131S,IND,131S,3.3-3.4,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.32,201,0.5,gis_post_distance,0
IND131S,IND,131S,3.4-3.5,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.68,199,0.5,gis_post_distance,0
IND131S,IND,131S,3.5-3.6,ATTO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.12,196,0.5,gis_post_distance,0
IND131S,IND,131S,3.6-3.7,ATTO,12,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.74,197,0.5,gis_post_distance,6.091370558375635
IND131S,IND,131S,3.7-3.0,ATTO,12,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,4.1-4.2,ATTO,5,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,102.5,205,0.5,gis_post_distance,2.4390243902439024
IND131S,IND,131S,4.2-4.0,ATTO,17,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,147,294,0.5,gis_post_distance,5.782312925170068
IND131S,IND,131S,5.1-5.0,ATTO,48,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,82.86,166,0.5,gis_post_distance,28.915662650602407
IND131S,IND,131S,1.1-1.2,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.12,200,0.5,gis_post_distance,0
IND131S,IND,131S,1.2-1.3,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.33,203,0.5,gis_post_distance,0
IND131S,IND,131S,1.3-1.4,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.46,197,0.5,gis_post_distance,0
IND131S,IND,131S,1.4-1.5,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.44,199,0.5,gis_post_distance,0
IND131S,IND,131S,1.5-1.6,ATCA2,4,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.37,203,0.5,gis_post_distance,1.9704433497536946
IND131S,IND,131S,1.6-1.0,ATCA2,3,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,85.41,171,0.5,gis_post_distance,1.7543859649122806
IND131S,IND,131S,2.1-2.2,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,2.2-2.3,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,2.3-2.4,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.02,202,0.5,gis_post_distance,0
IND131S,IND,131S,2.4-2.5,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.2,198,0.5,gis_post_distance,0
IND131S,IND,131S,2.5-2.6,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.8,200,0.5,gis_post_distance,0
IND131S,IND,131S,2.6-2.7,ATCA2,2,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.56,197,0.5,gis_post_distance,1.015228426395939
IND131S,IND,131S,2.7-2.0,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.99,204,0.5,gis_post_distance,0
IND131S,IND,131S,3.1-3.2,ATCA2,7,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.17,200,0.5,gis_post_distance,3.5000000000000004
IND131S,IND,131S,3.2-3.3,ATCA2,47,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.98,202,0.5,gis_post_distance,23.26732673267327
IND131S,IND,131S,3.3-3.4,ATCA2,7,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.32,201,0.5,gis_post_distance,3.482587064676617
IND131S,IND,131S,3.4-3.5,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.68,199,0.5,gis_post_distance,0
IND131S,IND,131S,3.5-3.6,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.12,196,0.5,gis_post_distance,0
IND131S,IND,131S,3.6-3.7,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.74,197,0.5,gis_post_distance,0
IND131S,IND,131S,3.7-3.0,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,4.1-4.2,ATCA2,2,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,102.5,205,0.5,gis_post_distance,0.975609756097561
IND131S,IND,131S,4.2-4.0,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,147,294,0.5,gis_post_distance,0
IND131S,IND,131S,5.1-5.0,ATCA2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,82.86,166,0.5,gis_post_distance,0
IND131S,IND,131S,1.1-1.2,ERNA10,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.12,200,0.5,gis_post_distance,0
IND131S,IND,131S,1.2-1.3,ERNA10,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.33,203,0.5,gis_post_distance,0
IND131S,IND,131S,1.3-1.4,ERNA10,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.46,197,0.5,gis_post_distance,0
IND131S,IND,131S,1.4-1.5,ERNA10,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.44,199,0.5,gis_post_distance,0
IND131S,IND,131S,1.5-1.6,ERNA10,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.37,203,0.5,gis_post_distance,0
IND131S,IND,131S,1.6-1.0,ERNA10,1,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,85.41,171,0.5,gis_post_distance,0.5847953216374269
IND131S,IND,131S,2.1-2.2,ERNA10,1,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,2.2-2.3,ERNA10,13,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,2.3-2.4,ERNA10,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.02,202,0.5,gis_post_distance,0
IND131S,IND,131S,2.4-2.5,ERNA10,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.2,198,0.5,gis_post_distance,0
IND131S,IND,131S,2.5-2.6,ERNA10,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.8,200,0.5,gis_post_distance,0
IND131S,IND,131S,2.6-2.7,ERNA10,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.56,197,0.5,gis_post_distance,0
IND131S,IND,131S,2.7-2.0,ERNA10,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.99,204,0.5,gis_post_distance,0
IND131S,IND,131S,3.1-3.2,ERNA10,5,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.17,200,0.5,gis_post_distance,2.5
IND131S,IND,131S,3.2-3.3,ERNA10,8,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.98,202,0.5,gis_post_distance,3.9603960396039604
IND131S,IND,131S,3.3-3.4,ERNA10,5,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.32,201,0.5,gis_post_distance,2.4875621890547266
IND131S,IND,131S,3.4-3.5,ERNA10,26,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.68,199,0.5,gis_post_distance,13.06532663316583
IND131S,IND,131S,3.5-3.6,ERNA10,4,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.12,196,0.5,gis_post_distance,2.0408163265306123
IND131S,IND,131S,3.6-3.7,ERNA10,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.74,197,0.5,gis_post_distance,0
IND131S,IND,131S,3.7-3.0,ERNA10,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,4.1-4.2,ERNA10,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,102.5,205,0.5,gis_post_distance,0
IND131S,IND,131S,4.2-4.0,ERNA10,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,147,294,0.5,gis_post_distance,0
IND131S,IND,131S,5.1-5.0,ERNA10,6,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,82.86,166,0.5,gis_post_distance,3.614457831325301
IND131S,IND,131S,1.1-1.2,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.12,200,0.5,gis_post_distance,0
IND131S,IND,131S,1.2-1.3,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.33,203,0.5,gis_post_distance,0
IND131S,IND,131S,1.3-1.4,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.46,197,0.5,gis_post_distance,0
IND131S,IND,131S,1.4-1.5,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.44,199,0.5,gis_post_distance,0
IND131S,IND,131S,1.5-1.6,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.37,203,0.5,gis_post_distance,0
IND131S,IND,131S,1.6-1.0,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,85.41,171,0.5,gis_post_distance,0
IND131S,IND,131S,2.1-2.2,ARTRT,2,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,2.2-2.3,ARTRT,4,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,2.3-2.4,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.02,202,0.5,gis_post_distance,0
IND131S,IND,131S,2.4-2.5,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.2,198,0.5,gis_post_distance,0
IND131S,IND,131S,2.5-2.6,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.8,200,0.5,gis_post_distance,0
IND131S,IND,131S,2.6-2.7,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.56,197,0.5,gis_post_distance,0
IND131S,IND,131S,2.7-2.0,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.99,204,0.5,gis_post_distance,0
IND131S,IND,131S,3.1-3.2,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.17,200,0.5,gis_post_distance,0
IND131S,IND,131S,3.2-3.3,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.98,202,0.5,gis_post_distance,0
IND131S,IND,131S,3.3-3.4,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.32,201,0.5,gis_post_distance,0
IND131S,IND,131S,3.4-3.5,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.68,199,0.5,gis_post_distance,0
IND131S,IND,131S,3.5-3.6,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.12,196,0.5,gis_post_distance,0
IND131S,IND,131S,3.6-3.7,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.74,197,0.5,gis_post_distance,0
IND131S,IND,131S,3.7-3.0,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,4.1-4.2,ARTRT,4,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,102.5,205,0.5,gis_post_distance,1.951219512195122
IND131S,IND,131S,4.2-4.0,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,147,294,0.5,gis_post_distance,0
IND131S,IND,131S,5.1-5.0,ARTRT,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,82.86,166,0.5,gis_post_distance,0
IND131S,IND,131S,1.1-1.2,ARTRP2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.12,200,0.5,gis_post_distance,0
IND131S,IND,131S,1.2-1.3,ARTRP2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.33,203,0.5,gis_post_distance,0
IND131S,IND,131S,1.3-1.4,ARTRP2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.46,197,0.5,gis_post_distance,0
IND131S,IND,131S,1.4-1.5,ARTRP2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.44,199,0.5,gis_post_distance,0
IND131S,IND,131S,1.5-1.6,ARTRP2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.37,203,0.5,gis_post_distance,0
IND131S,IND,131S,1.6-1.0,ARTRP2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,85.41,171,0.5,gis_post_distance,0
IND131S,IND,131S,2.1-2.2,ARTRP2,2,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,2.2-2.3,ARTRP2,2,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,2.3-2.4,ARTRP2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.02,202,0.5,gis_post_distance,0
IND131S,IND,131S,2.4-2.5,ARTRP2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.2,198,0.5,gis_post_distance,0
IND131S,IND,131S,2.5-2.6,ARTRP2,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.8,200,0.5,gis_post_distance,0
