Lifecycle,parcel,year,transect,Grass,Herb,Herb_Shrub,Shrub,Tree,Cover,tot.live.cover,pShrubTran,pGrassTran,pHerbTran
Perennial,LAW090,2024,68,0,0,0,10,0,10,12.5,1,0,0
Perennial,LAW090,2024,69,0,0,0,4.5,0,4.5,4.5,1,0,0
Perennial,LAW090,2024,70,0,0,0,9,0,9,9,1,0,0
Perennial,LAW090,2024,71,0,0,0,6.5,0,6.5,6.5,1,0,0
Perennial,LAW090,2024,72,0,0,0,10.5,0,10.5,10.5,1,0,0
Perennial,LAW090,2024,73,0,0,0,23,0,23,23.5,1,0,0
Perennial,LAW090,2024,74,0,0,0,15.5,0,15.5,15.5,1,0,0
Perennial,LAW090,2024,75,0,0,0,19.5,0,19.5,19.5,1,0,0
Perennial,LAW090,2024,76,0,0,0,13.5,0,13.5,13.5,1,0,0
Perennial,LAW090,2024,77,0,0,0,11.5,0,11.5,11.5,1,0,0
Perennial,LAW090,2024,78,0,0,0,17.5,0,17.5,17.5,1,0,0
Perennial,LAW090,2024,79,0,0,0,10.5,0,10.5,11.5,1,0,0
Perennial,LAW090,2024,80,0,0,0,13.5,0,13.5,13.5,1,0,0
Perennial,LAW094,2022,41,0,0,0,8.5,0,8.5,10.5,1,0,0
Perennial,LAW094,2022,42,0,0,0,11.5,0,11.5,14,1,0,0
Perennial,LAW094,2022,43,0,0,0,10,0,10,12.5,1,0,0
Perennial,LAW094,2022,44,0,0,0,10.5,0,10.5,12.5,1,0,0
Perennial,LAW094,2022,45,0,0,0,5,0,5,6.5,1,0,0
Perennial,LAW094,2022,46,0,0,0,13,0,13,15.5,1,0,0
Perennial,LAW094,2022,47,0.5,0,0,10,0,10.5,13.5,0.9523809523809523,0.047619047619047616,0
Perennial,LAW094,2022,48,1.5,0,0,11.5,0,13,16,0.8846153846153846,0.11538461538461539,0
Perennial,LAW094,2022,49,0,0,0,14.000000000000002,0,14.000000000000002,15.500000000000002,1,0,0
Perennial,LAW094,2022,50,0,0,0,13,0,13,14,1,0,0
Perennial,LAW094,2022,51,0,0,0,6,0,6,15.5,1,0,0
Perennial,LAW094,2022,52,0,0,0,7.5,0,7.5,12.5,1,0,0
Perennial,LAW094,2022,53,3.5000000000000004,0,0,9,0,12.5,24.5,0.72,0.28,0
Perennial,LAW094,2022,54,1,0,0,9,0,10,21.5,0.9,0.1,0
Perennial,LAW094,2022,55,3.5000000000000004,0,0,9.5,0,13,22,0.7307692307692307,0.2692307692307693,0
Perennial,LAW094,2022,56,2.5,0,0,8,0,10.5,22,0.7619047619047619,0.23809523809523808,0
Perennial,LAW094,2022,57,0,0,0,11.5,0,11.5,20.5,1,0,0
Perennial,LAW094,2022,58,0,0,0,10,0,10,22.5,1,0,0
Perennial,LAW094,2022,59,0.5,0,0,11.5,0,12,24,0.9583333333333334,0.041666666666666664,0
Perennial,LAW094,2022,60,1.5,0,0,9.5,0,11,20,0.8636363636363636,0.13636363636363635,0
Perennial,LAW094,2024,41,0,0,0,12,0,12,12,1,0,0
Perennial,LAW094,2024,42,0,0,0,12,0,12,12,1,0,0
Perennial,LAW094,2024,43,0,0,0,7.5,0,7.5,8,1,0,0
Perennial,LAW094,2024,44,0,0,0,18.5,0,18.5,18.5,1,0,0
Perennial,LAW094,2024,45,0,0,0,10.5,0,10.5,10.5,1,0,0
Perennial,LAW094,2024,46,0,0,0,5,0,5,5,1,0,0
Perennial,LAW094,2024,47,0,0,0,3.5000000000000004,0,3.5000000000000004,3.5000000000000004,1,0,0
Perennial,LAW094,2024,48,0,0,0,8,0,8,8,1,0,0
Perennial,LAW094,2024,49,0,0,0,15.5,0,15.5,15.5,1,0,0
Perennial,LAW094,2024,50,0,0,0,20.5,0,20.5,20.5,1,0,0
Perennial,LAW094,2024,51,0,0,0,5.5,0,5.5,5.5,1,0,0
Perennial,LAW094,2024,52,0,0,0,9.5,0,9.5,9.5,1,0,0
Perennial,LAW094,2024,53,0,0,0,7.5,0,7.5,7.5,1,0,0
Perennial,LAW094,2024,54,0,0,0,7.000000000000001,0,7.000000000000001,7.000000000000001,1,0,0
Perennial,LAW094,2024,55,0,0,0,9,0,9,9,1,0,0
Perennial,LAW094,2024,56,0,0,0,6.5,0,6.5,6.5,1,0,0
Perennial,LAW094,2024,57,0,0,0,11,0,11,11,1,0,0
Perennial,LAW094,2024,58,0,0,0,10,0,10,10,1,0,0
Perennial,LAW094,2024,59,0,0,0,8.5,0,8.5,8.5,1,0,0
Perennial,LAW094,2024,60,0,0,0,6.5,0,6.5,6.5,1,0,0
Perennial,LAW095,2022,21,2,0,0,23.5,0,25.5,26,0.9215686274509803,0.0784313725490196,0
Perennial,LAW095,2022,22,0,0,0,18.5,0,18.5,19.5,1,0,0
Perennial,LAW095,2022,23,5,0,0,8.5,0,13.5,16,0.6296296296296297,0.37037037037037035,0
Perennial,LAW095,2022,24,0,0,0,13,0,13,13,1,0,0
Perennial,LAW095,2022,25,0.5,0,0,16.5,0,17,17.5,0.9705882352941176,0.029411764705882353,0
Perennial,LAW095,2022,26,5,0,0,12.5,0,17.5,19,0.7142857142857143,0.2857142857142857,0
Perennial,LAW095,2022,27,2.5,0,0,3,0,5.5,7.5,0.5454545454545454,0.45454545454545453,0
Perennial,LAW095,2022,28,0.5,0,0,18.5,0,19,19.5,0.9736842105263158,0.02631578947368421,0
Perennial,LAW095,2022,29,1,0,0,8.5,0,9.5,9.5,0.8947368421052632,0.10526315789473684,0
Perennial,LAW095,2022,30,0,0,0,14.000000000000002,0,14.000000000000002,14.500000000000002,1,0,0
Perennial,LAW095,2022,31,0,0,0,6.5,0,6.5,7.5,1,0,0
Perennial,LAW095,2022,32,0,0,0,6,0,6,10.5,1,0,0
Perennial,LAW095,2022,33,3,0,0,11,0,14,15,0.7857142857142857,0.21428571428571427,0
Perennial,LAW095,2022,34,3.5000000000000004,0,0,15,0,18.5,21.5,0.8108108108108109,0.1891891891891892,0
Perennial,LAW095,2022,35,0,0,0,5,0,5,12.5,1,0,0
Perennial,LAW095,2022,36,0,0,0,6.5,0,6.5,13,1,0,0
Perennial,LAW095,2022,37,0,0,0,8,0,8,13,1,0,0
Perennial,LAW095,2022,38,1,0,0,7.000000000000001,0,8,15.5,0.8750000000000001,0.125,0
Perennial,LAW095,2022,39,0,0,0,12.5,0,12.5,17,1,0,0
Perennial,LAW095,2022,40,0,0,0,6,0,6,13,1,0,0
Perennial,LAW095,2024,21,0,0,0,22.5,0,22.5,23,1,0,0
Perennial,LAW095,2024,22,0,0,0,26.5,0,26.5,26.5,1,0,0
Perennial,LAW095,2024,23,0,0,0,4.5,0,4.5,5,1,0,0
Perennial,LAW095,2024,24,0,0,0,25.5,0,25.5,26,1,0,0
Perennial,LAW095,2024,25,0,0,0,16,0,16,16.5,1,0,0
Perennial,LAW095,2024,26,0,0,0,16,0,16,16,1,0,0
Perennial,LAW095,2024,27,0,0,0,3,0,3,3.5,1,0,0
Perennial,LAW095,2024,28,0,0,0,28.999999999999996,0,28.999999999999996,28.999999999999996,1,0,0
Perennial,LAW095,2024,29,0,0,0,4.5,0,4.5,4.5,1,0,0
Perennial,LAW095,2024,30,0,0,0,16.5,0,16.5,17,1,0,0
Perennial,LAW095,2024,31,0,0,0,7.000000000000001,0,7.000000000000001,9,1,0,0
Perennial,LAW095,2024,32,0,0,0,2.5,0,2.5,3.5,1,0,0
Perennial,LAW095,2024,33,0,0,0,17,0,17,17.5,1,0,0
Perennial,LAW095,2024,34,0,0,0,6,0,6,6,1,0,0
Perennial,LAW095,2024,35,0,0,0,1,0,1,5,1,0,0
Perennial,LAW095,2024,36,0,0,0,2.5,0,2.5,5.5,1,0,0
Perennial,LAW095,2024,37,0,0,0,2,0,2,3.5,1,0,0
Perennial,LAW095,2024,38,0,0,0,4.5,0,4.5,4.5,1,0,0
Perennial,LAW095,2024,39,0,0,0,11.5,0,11.5,11.5,1,0,0
Perennial,LAW095,2024,40,0,0,0,6.5,0,6.5,7,1,0,0
Perennial,LAW118,2023,1,1,2,0,39,0,42,61.5,0.9285714285714286,0.023809523809523808,0.047619047619047616
Perennial,LAW118,2023,2,1,1.5,0,33,0,35.5,64.5,0.9295774647887324,0.028169014084507043,0.04225352112676056
Perennial,LAW118,2023,3,0,0,0,15,0,15,41,1,0,0
Perennial,LAW118,2023,4,0,1,0,21.5,0,22.5,40.5,0.9555555555555556,0,0.044444444444444446
Perennial,LAW118,2023,5,0.5,0,0,43,0,43.5,52.5,0.9885057471264368,0.011494252873563218,0
Perennial,LAW118,2023,6,0,0,0.5,16.5,0,17,43.5,0.9705882352941176,0,0
Perennial,LAW118,2023,7,0,0.5,0,18,0,18.5,41.5,0.972972972972973,0,0.02702702702702703
Perennial,LAW118,2023,8,0,0.5,0,11,0,11.5,54,0.9565217391304348,0,0.043478260869565216
Perennial,LAW118,2023,9,0,0,0,10,0,10,29,1,0,0
Perennial,LAW118,2023,10,0,1.5,0,5.5,0,7,45,0.7857142857142857,0,0.21428571428571427
Perennial,LAW118,2023,11,0,0,0,21,0,21,32.5,1,0,0
Perennial,LAW118,2023,12,0,0,0,36.5,0,36.5,44.5,1,0,0
Perennial,LAW118,2023,13,0,0,0,27,0,27,37,1,0,0
Perennial,LAW118,2023,14,0,0,0,22.5,0,22.5,32.5,1,0,0
Perennial,LAW118,2023,15,0,0,0,19,0,19,30,1,0,0
Perennial,LAW118,2025,6,0,0,0,5.5,0,5.5,6.5,1,0,0
Perennial,LAW118,2025,8,0,0,0,10.5,0,10.5,15.5,1,0,0
Perennial,LAW118,2025,10,0,0,0,0,0,0,3,0,0,0
Perennial,LAW118,2025,11,0,0,0,17.5,0,17.5,18.5,1,0,0
Perennial,LAW118,2025,13,0,0,0,9.5,0,9.5,9.5,1,0,0
Perennial,LAW118,2025,14,0,0,0,20.5,0,20.5,20.5,1,0,0
Perennial,LAW129,2025,1,0,0,0,24,0,24,25.5,1,0,0
Perennial,LAW129,2025,2,0,0,0,41,0,41,41,1,0,0
Perennial,LAW129,2025,3,0,1,0,28.000000000000004,0,29.000000000000004,30.000000000000004,0.9655172413793104,0,0.03448275862068965
Perennial,LAW129,2025,5,0,0,0,40.5,0,40.5,41.5,1,0,0
Perennial,LAW129,2025,6,0,0,0,10.5,0,10.5,11.5,1,0,0
Perennial,LAW129,2025,7,0,0.5,0,11,0,11.5,23.5,0.9565217391304348,0,0.043478260869565216
Perennial,LAW129,2025,8,0,0,0,36.5,0,36.5,36.5,1,0,0
Perennial,LAW129,2025,10,0,0,0,9,0,9,9.5,1,0,0
Perennial,LAW129,2025,12,0,5,0,18,0,23,30,0.782608695652174,0,0.21739130434782608
Perennial,LAW129,2025,13,0,0.5,0,31,0,31.5,41,0.9841269841269841,0,0.015873015873015872
Perennial,LAW129,2025,14,0,0,0,47.5,0,47.5,47.5,1,0,0
Perennial,LAW129,2025,15,0,0,0,28.999999999999996,0,28.999999999999996,28.999999999999996,1,0,0
Perennial,LAW129,2025,17,0,0,0,35,0,35,35,1,0,0
Perennial,LAW129,2025,21,0,0,0,3,0,3,17.5,1,0,0
