NameChange,SubClass,SuperOrder,alt_order,Order,Family,Code,Species,Genus,Species.1,CommonName,OtherNotes,SourceCode,Phreatophyte,Noxious,Toxic,WeedyInOV,RareOrUncommon,Lifecycle,Veg_Type,USDA0,USDA8,Group,Provenance,Lifeform,Spore/Seed,Gymnosperm/Angio,Monocot/Dicot,tbl_species_veg_type_ID,addition_origin
-1,NA,NA,NA,Poales,Poaceae,ACOCO,Achnatherum occidentale ssp. occidentale,Achnatherum,occidentale,"needlegrass, Western",Stipa occidentalis var. occidentalis,1,0,0,0,0,0,Perennial,grass,n/a,n/a,NA,Native,Grass,Seed bearing plants,Angiosperm,Monocot,0,NA
0,NA,NA,NA,Ranunculales,Ranunculaceae,ACONI,Aconitum sp.,Aconitum,sp,Monkshood,NA,7,0,0,0,0,0,Perennial,forb,n/a,n/a,2,NA,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
-1,NA,NA,NA,Poales,Poaceae,ACPA13,Achnatherum parishii,Achnatherum,parishii,"needlegrass, Tall",Stipa parishii,2,0,0,0,0,0,Perennial,grass,n/a,n/a,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ACRE3,Acroptilon repens,Acroptilon,repens,"knapweed, Russian",NA,"1,4,7,8",0,-1,0,-1,0,Perennial,weed,n/a,n/a,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ACSH,Acamptopappus shockleyi,Acamptopappus,shockleyi,"goldenhead, Shockley's",NA,2,0,0,0,0,0,Perennial,shrub,n/a,n/a,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ACSP,Acamptopappus sphaerocephalus,Acamptopappus,sphaerocephalus,"goldenhead, Rayless",NA,"1,2",0,0,0,0,0,Perennial,shrub,n/a,n/a,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA
-1,NA,NA,NA,Poales,Poaceae,ACSP12,Achnatherum speciosum,Achnatherum,speciosum,"needlegrass, Desert",Stipa speciosa,"1,2,3,4,7",0,0,0,0,0,Perennial,grass,n/a,n/a,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
0,NA,NA,NA,Fabales,Fabaceae,ACST9,Acmispon stringosus,Acmispon,stringosus,"trefoil, Stiff-haired",NA,2,0,0,0,0,0,Annual,forb,n/a,n/a,NA,Native,Herb,Seed bearing plants,Angiosperm,Dicot,0,NA
-1,NA,NA,NA,Poales,Poaceae,AGAL3,Agrostis alba,Agrostis,alba,Redtop,Agrostis gigantea,"1,3",0,0,0,-1,0,Perennial,weed,NI,NI,4,Non-native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
-1,NA,NA,NA,Poales,Poaceae,AGEL3,Agropyron elongatum,Agropyron,elongatum,"wheatgrass, Tall",Elymus ponticus,7,0,0,0,-1,0,Perennial,weed,n/a,n/a,4,Non-native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
0,NA,NA,NA,Poales,Poaceae,AGEX,Agrostis exarata,Agrostis,exarata,"bentgrass, Spike",NA,7,GW dependent,0,0,0,0,Perennial,grass,FACW,FACW,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
0,NA,NA,NA,Poales,Poaceae,AGGI2,Agrostis gigantea,Agrostis,gigantea,Redtop,NA,"1,3,8",0,0,0,-1,0,Perennial,weed,NI,NI,4,Non-native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,AGGL,Agoseris glauca,Agoseris,glauca,"dandelion, Pale",NA,7,0,0,0,0,0,Perennial,forb,FAC,FACU,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,AGGLG,Agoseris glauca var. glauca,Agoseris,glauca,"dandelion, Pale",NA,7,GW dependent,0,0,0,0,Perennial,forb,FAC,FACU,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,AGGLL,Agoseris glauca var. laciniata,Agoseris,glauca,agoseris. False,NA,7,0,0,0,0,0,Perennial,forb,FAC,FACU,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
-1,NA,NA,NA,Poales,Poaceae,AGIN2,Agropyron intermedium,Agropyron,intermedium,"wheatgrass, Intermediate",Elymus hispidus,1,0,0,0,-1,0,Perennial,weed,n/a,n/a,4,Non-native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,AGRE,Agoseris retrorsa,Agoseris,retrorsa,"agoseris, Spearleaf",NA,7,0,0,0,0,0,Perennial,forb,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Poales,Poaceae,AGROP2,Agropyron sp.,Agropyron,sp,Wheatgrass,NA,7,0,0,0,-1,0,Perennial,weed,n/a,n/a,4,Non-native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
0,NA,NA,NA,Poales,Poaceae,AGROS2,Agrostis sp.,Agrostis,sp,Bentgrass,NA,1,GW dependent,0,0,0,0,Perennial,grass,n/a,n/a,NA,NA,Grass,Seed bearing plants,Angiosperm,Monocot,0,NA
0,NA,NA,NA,Poales,Poaceae,AGSC5,Agrostis scabra,Agrostis,scabra,"bentgrass, Rough",NA,7,GW dependent,0,0,0,0,Perennial,grass,FAC,FAC,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
0,NA,NA,NA,Poales,Poaceae,AGST2,Agrostis stolonifera,Agrostis,stolonifera,"bentgrass, Creeping",NA,"1,7",GW dependent,0,0,-1,0,Perennial,weed,FACW,FACW,4,Non-native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
-1,NA,NA,NA,Poales,Poaceae,AGVI11,Agrostis viridis,Agrostis,viridis,"bentgrass, Water",Polypogon viridis,"0,7",GW dependent,0,0,0,0,Perennial,weed,OBL,OBL,4,Non-native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
0,NA,NA,NA,Rutales,Simaroubaceae,AIAL,Ailanthus altissima,Ailanthus,altissima,Tree of heaven,NA,"1,2,4,7",0,0,0,-1,0,Perennial,weed,FACU,NI,2,Non-native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Rutales,Simaroubaceae,AILAN,Ailanthus sp.,Ailanthus,sp,Ailanthus,NA,1,0,0,0,-1,0,Perennial,weed,n/a,n/a,NA,Non-native,Shrub,Seed bearing plants,Angiosperm,Dicot,0,NA
0,NA,NA,NA,Amaryllidales,Amaryllidaceae,ALBI2,Allium bisceptrum,Allium,bisceptrum,"onion, Twincrest",NA,7,GW dependent,0,0,0,0,Perennial,forb,FAC,FAC-,4,Native,Herb,Seed bearing plants,Angiosperm,Monocot,NA,NA
0,NA,NA,NA,Amaryllidales,Amaryllidaceae,ALFI2,Allium fimbriatum,Allium,fimbriatum,"onion, Fringed",NA,2,0,0,0,0,0,Perennial,forb,n/a,n/a,4,Native,Herb,Seed bearing plants,Angiosperm,Monocot,NA,NA
NA,NA,NA,NA,Polemoniales,Polemoniaceae,ALLA13,Aliciella latifolia,Aliciella,latifolia,broad-leaf gilia,NA,NA,0,0,0,0,0,Annual,forb,n/a,n/a,NA,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Polemoniales,Polemoniaceae,ALLE7,Aliciella leptomeria,Aliciella,leptomeria,"gilia, Sand","Plt glandular; flw 4-7mm, purple to white, throat yellow","2,3,4",0,0,0,0,0,Annual,forb,n/a,n/a,NA,Native,Herb,Seed bearing plants,Angiosperm,Dicot,0,NA
0,NA,NA,NA,Amaryllidales,Amaryllidaceae,ALLIU,Allium sp.,Allium,sp,Onion,NA,7,0,0,0,0,0,Perennial,forb,n/a,n/a,4,NA,Herb,Seed bearing plants,Angiosperm,Monocot,NA,NA
0,NA,NA,NA,Polemoniales,Polemoniaceae,ALMI10,Aliciella micromeria,Aliciella,micromeria,"gilia, Dainty","Plt slightly puberlent; Inf nodding in bud, flw 3mm, wht-lav, throat yellow","2,3",0,0,0,0,0,Annual,forb,n/a,n/a,NA,Native,Herb,Seed bearing plants,Angiosperm,Dicot,0,NA
0,NA,NA,NA,Caryophyllales,Chenopodiaceae,ALOC2,Allenrolfea occidentalis,Allenrolfea,occidentalis,"bush, Iodine",NA,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,shrub,FACW+,FACW,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA
-1,NA,NA,NA,Boraginales,Boraginaceae,ALPA,Allocarya parishii,Allocarya,parishii,"popcornflower, Parish's",Plagiobothrys parishii,5,GW dependent,0,0,0,-1,Annual,forb,OBL,NO,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,AMAC2,Ambrosia acanthicarpa,Ambrosia,acanthicarpa,"ragweed, Bur",NA,"1,2,3,4,6,7,8",0,0,0,-1,0,Annual,weed,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Caryophyllales,Amaranthaceae,AMAL,Amaranthus albus,Amaranthus,albus,Tumbleweed,NA,"2,6,7",0,-1,0,-1,0,Annual,weed,FACU,FACU,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
NA,NA,NA,NA,Caryophyllales,Amaranthaceae,AMAN,Amaranthus annectens,Amaranthus,annectens,Gregg's amaranth,NA,NA,NA,NA,NA,NA,NA,Perennial,forb,NA,NA,NA,NA,Herb,NA,NA,NA,NA,LA list 2017
0,NA,NA,NA,Asterales,Asteraceae,AMAR2,Ambrosia artemisiifolia,Ambrosia,artemisiifolia,"ragweed, Common",NA,6,0,0,0,-1,0,Annual,weed,FACU,FACU,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Caryophyllales,Amaranthaceae,AMARA,Amaranthus sp.,Amaranthus,sp,Pigweed /Amaranth,NA,"0,4,8",0,0,0,-1,0,Annual,weed,n/a,n/a,2,NA,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Caryophyllales,Amaranthaceae,AMBL,Amaranthus blitoides,Amaranthus,blitoides,"amaranth, Prostrate",NA,2,GW dependent,-1,0,-1,0,Annual,weed,FACW,FACU,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,AMBRO,Ambrosia sp.,Ambrosia,sp,Ragweed,NA,8,0,0,0,-1,0,Annual/Perennial,weed,n/a,n/a,NA,NA,Herb_Shrub,Seed bearing plants,Angiosperm,Dicot,0,NA
0,NA,NA,NA,Asterales,Asteraceae,AMDU2,Ambrosia dumosa,Ambrosia,dumosa,Burrow-bush,NA,"1,2,4,8",0,0,0,0,0,Perennial,shrub,n/a,n/a,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA
-1,NA,NA,NA,Boraginales,Boraginaceae,AMEC,Amsinckia echinata,Amsinckia,echinata,"fiddleneck, Intermediate Menzies'",Amsinckia intermedia,8,0,0,-1,0,0,Annual,forb,n/a,n/a,NA,Native,Herb,Seed bearing plants,Angiosperm,Dicot,0,NA
0,NA,NA,NA,Boraginales,Boraginaceae,AMIN3,Amsinckia intermedia,Amsinckia,intermedia,"fiddleneck, Intermediate Menzies'",NA,8,0,0,-1,0,0,Annual,forb,n/a,n/a,NA,Native,Herb,Seed bearing plants,Angiosperm,Dicot,0,NA
0,NA,NA,NA,Boraginales,Boraginaceae,AMME,Amsinckia menziesii,Amsinckia,menziesii,"fiddleneck, Menzies'",NA,8,0,0,-1,0,0,Annual,forb,n/a,n/a,NA,Native,Herb,Ferns or fern allies,Angiosperm,Dicot,0,NA
-1,NA,NA,NA,Boraginales,Boraginaceae,AMMEI2,Amsinckia menziesii var. intermedia,Amsinckia,menziesii,"fiddleneck, Intermediate Menzies'",Amsinckia intermedia,8,0,0,-1,0,0,Annual,forb,n/a,n/a,NA,Native,Herb,Seed bearing plants,Angiosperm,Dicot,0,NA
0,NA,NA,NA,Cyperales,Cyperaceae,AMNE3,Amphiscirpus nevadensis,Amphiscirpus,nevadensis,"bulrush, Nevada",1 long involucral bract,"1,2,3,4,7",GW dependent,0,0,0,0,Perennial,grass,OBL,OBL,NA,Native,Grass,Seed bearing plants,Angiosperm,Monocot,0,NA
0,NA,NA,NA,Caryophyllales,Amaranthaceae,AMPA,Amaranthus palmeri,Amaranthus,palmeri,"amaranth, Palmer's",NA,6,0,0,0,0,0,Annual,forb,FACU,FACU,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Caryophyllales,Amaranthaceae,AMRE,Amaranthus retroflexus,Amaranthus,retroflexus,"amaranth, Redroot",NA,"2,8",0,0,0,-1,0,Annual,weed,FACU,FACU,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,AMSA7,Ambrosia salsola,Ambrosia,salsola,Cheesebush,NA,"1,2,4,7,8",0,0,0,0,0,Perennial,shrub,n/a,n/a,NA,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,0,NA
0,NA,NA,NA,Boraginales,Boraginaceae,AMSIN,Amsinckia sp.,Amsinckia,sp,Fiddleneck,NA,1,0,0,-1,-1,0,Annual,weed,n/a,n/a,2,NA,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Caryophyllales,Amaranthaceae,AMSP,Amaranthus spinosus,Amaranthus,spinosus,"pigweed, Spiny",NA,6,0,0,0,-1,0,Annual,weed,FACU,n/a,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Boraginales,Boraginaceae,AMTE3,Amsinckia tessellata,Amsinckia,tessellata,"fiddleneck, Bristlly",NA,"2,3,4,6,7,8",0,0,-1,-1,0,Annual,weed,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ANAC,Anisocoma acaulis,Anisocoma,acaulis,Scale bud,NA,"2,3",0,0,0,0,0,Annual,forb,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Scrophulariales,Scrophulariaceae,ANCA10,Anemopsis californica,Anemopsis,californica,Yerba mansa,NA,"1,2,3,4,5,6,7,8",GW dependent,0,0,0,0,Perennial,forb,OBL,OBL,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,"Araliales, Pittosporales",Apiales,Apiaceae,ANLI2,Angelica lineariloba,Angelica,lineariloba,"angelica, Tall",NA,"4,2,7",0,0,0,0,0,Perennial,forb,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ANRO2,Antennaria rosea,Antennaria,rosea,"pussy-toes, Rosy",NA,"7,8",0,0,0,0,0,Perennial,forb,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,"Apocynales, Rubiales",Gentianales,Apocynaceae,APAN2,Apocynum androsaemifolium,Apocynum,androsaemifolium,"dogbane, Bitter",NA,7,0,0,-1,0,0,Perennial,forb,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Gentianales,Apocynaceae,APCA,Apocynum cannabinum,Apocynum,cannabinum,"dogbane, Hemp",var. glaberrimum not recognized,"4,7,8",GW dependent,0,-1,0,0,Perennial,forb,FAC,FAC,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
-1,NA,NA,NA,Gentianales,Apocynaceae,APCAG,Apocynum cannabinum var. glaberrimum,Apocynum,cannabinum,"dogbane, Hemp",Apocynum cannabinum,"1,2,3,4,5,6",GW dependent,0,-1,0,0,Perennial,forb,FAC,FAC,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,"Araliales, Pittosporales",Apiales,Apiaceae,APGR2,Apium graveolens,Apium,graveolens,Celery,NA,7,GW dependent,0,0,-1,0,Annual/Biennial/Perennial,weed,FACW*,n/a,2,Non-native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Gentianales,Apocynaceae,APOCY,Apocynum sp.,Apocynum,sp,Dogbane,NA,"1,4",0,0,-1,0,0,Perennial,forb,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Ranunculales,Ranunculaceae,AQFO,Aquilegia formosa,Aquilegia,formosa,"columbine, Western",NA,"4,7",GW dependent,0,0,0,0,Perennial,forb,FAC,FAC,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Ranunculales,Ranunculaceae,AQRA?,Aquilegia ramosa,Aquilegia,ramosa,Columbine species,Pob. Aquilegia formosa,7,0,0,0,0,0,Perennial,forb,NA,NA,2,NA,NA,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Poales,Poaceae,ARAD,Aristida adscensionis,Aristida,adscensionis,"three-awn, Six-weeks",NA,6,0,0,0,0,0,Annual,grass,n/a,n/a,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ARCA51,Arida carnosa,Arida,carnosa,"aster, Shrubby alkali",NA,"1,2,3,4,7,8",GW dependent,0,0,0,0,Perennial,shrub,FACW,OBL,NA,Native,Shrub,Seed bearing plants,Angiosperm,Monocot,0,NA
0,NA,NA,NA,Asterales,Asteraceae,ARCA6,Arida carnosa,Arida,carnosa,"aster, Shrubby alkali",NA,"1,2,3,4,7,8",GW dependent,0,0,0,0,Perennial,shrub,FACW,OBL,NA,Native,Shrub,Seed bearing plants,Angiosperm,Monocot,0,NA
0,NA,NA,NA,Asterales,Asteraceae,ARCH3,Arnica chamissonis,Arnica,chamissonis,"arnica, Chamisso",NA,7,GW dependent,0,0,0,0,Perennial,forb,FACW,FACW,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
-1,NA,NA,NA,Asterales,Asteraceae,ARCHF,Arnica chamissonis ssp. foliosa,Arnica,chamissonis,"arnica, Chamisso",Arnica chamissonis,7,GW dependent,0,0,0,0,Perennial,forb,FACW,FACW,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
NA,NA,NA,NA,Capparales,Brassicaceae,ARCO,Arabis cobrensis,Arabis,cobrensis,sagebrush rockcress,NA,NA,NA,NA,NA,NA,NA,Perennial,forb,NA,NA,NA,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,LA list 2017
0,NA,NA,NA,Ranunculales,Papaveraceae,ARCO6,Argemone corymbosa,Argemone,corymbosa,"poppy, Mohave prickly","sap orange, lvs less prickly on top",7,0,0,0,0,0,Perennial,forb,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ARDO3,Artemisia douglasiana,Artemisia,douglasiana,"mugwort, Douglas'","leaves > 1cm wide, sprsly tom. above, dense below","4,7,8",GW dependent,0,0,0,0,Perennial,forb,FACW,FAC,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ARDR4,Artemisia dracunculus,Artemisia,dracunculus,Tarragon,NA,"2,4,7,8",GW dependent,0,0,0,0,Perennial,forb,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Ranunculales,Papaveraceae,ARGEM,Argemone sp.,Argemone,sp,"poppy, Prickly",NA,4,0,0,0,0,0,Annual/Perennial,forb,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Poales,Poaceae,ARIST,Aristida sp.,Aristida,sp,Three-awn,NA,1,0,0,0,0,0,Annual/Perennial,grass,n/a,n/a,4,NA,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ARLU,Artemisia ludoviciana,Artemisia,ludoviciana,"mugwort, Silver","leaves < 1cm wide, densely tomentose","1,2,4,6,7,8",0,0,0,0,0,Perennial,forb,FACU-,FACU,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ARLUA,Artemisia ludoviciana ssp. albula,Artemisia,ludoviciana,"mugwort, White",NA,7,0,0,0,0,0,Perennial,forb,FACU-,FACU,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ARLUI2,Artemisia ludoviciana ssp. incompta,Artemisia,ludoviciana,"mugwort, Western",NA,5,0,0,0,0,0,Perennial,forb,FACU-,FACU,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ARLUL2,Artemisia ludoviciana ssp. ludoviciana,Artemisia,ludoviciana,"mugwort, Silver",NA,7,0,0,0,0,0,Perennial,forb,FACU-,FACU,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Ranunculales,Papaveraceae,ARMU,Argemone munita,Argemone,munita,"poppy, Flatbud prickly/ Chicalote","sap yellow, lvs prickly both surfaces","2,7",0,0,0,0,0,Annual/Perennial,forb,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
-1,NA,NA,NA,Capparales,Brassicaceae,ARPU2,Arabis pulchra,Arabis,pulchra,"cress, Beautiful rock",Boechera pulchra,7,0,0,0,0,0,Perennial,forb,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
-1,NA,NA,NA,Capparales,Brassicaceae,ARSP,Arabis sparsiflora,Arabis,sparsiflora,"rockcress, Sicklepod",Boechera sparsiflora,8,0,0,0,0,0,Perennial,forb,n/a,n/a,NA,Native,Herb,Seed bearing plants,Angiosperm,Monocot,0,NA
0,NA,NA,NA,Asterales,Asteraceae,ARSP5,Artemisia spinescens,Artemisia,spinescens,Budsage,NA,"1,3,4",0,0,0,0,0,Perennial,shrub,n/a,n/a,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA
-1,NA,NA,NA,Capparales,Brassicaceae,ARSPA,Arabis sparsiflora var. arcuata,Arabis,sparsiflora,"cress, Sicklepod rock",Boechera arcuata,2,0,0,0,0,0,Perennial,forb,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ARTR2,Artemisia tridentata,Artemisia,tridentata,"sagebrush, Big",NA,"7,8",0,0,0,0,0,Perennial,shrub,n/a,n/a,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ARTRP2,Artemisia tridentata ssp. parishii,Artemisia,tridentata,big sagebrush,drooping inflorescences,NA,0,0,0,0,0,Perennial,NA,NA,NA,NA,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,0,NA
